ID	RE	R1_Unsorted	R1_Negative	R1_Low	R1_Medium	R1_High	R2_Unsorted	R2_Negative	R2_Low	R2_Medium	R2_High
gRNA_718	RE22	511.467115182024	571.40441621052	455.400864219797	463.427264318966	574.75446692219	704.806362929871	737.734553230098	727.541672577301	726.027499539922	723.681011834364
gRNA_4618	RE98	838.6067959965	825.803599775552	887.604365382823	861.388967135624	820.232789844361	591.941289479431	621.304379326465	605.720741355056	544.520624654942	635.173262185557
gRNA_751	RE22	266.527506450373	318.99272626709	250.287338244124	296.317804694654	295.75701556888	497.086600090232	417.29398611479	442.164861473337	411.286854792562	383.533581811497
gRNA_6675	RE129	443.382206992209	444.204824428004	473.714571896197	431.555872534947	536.306054898236	437.051986552765	361.654787966151	446.676747814901	463.421808216971	494.602130390393
BRDN0000738011	NT	395.224589004291	413.398673293176	399.238827345506	464.288653286101	427.861815856313	554.719829086201	675.913221953833	513.22707135298	639.13591049924	568.358588431065
gRNA_1259	RE33	267.357810208785	247.442955889425	218.543578271699	249.802800469331	211.95919449103	86.4498434939535	73.1552420102472	110.541215368334	93.6498237438464	92.8463648276702
gRNA_6318	RE126	180.175915575485	184.836906808968	191.683473679646	231.713632159483	218.860191520971	254.546761398863	265.83172448794	228.978231834406	254.881994519334	172.676884118751
gRNA_6611	RE128	274.830544034496	211.668070700592	219.764492116792	237.743354929432	256.322746826363	384.221526639793	347.229810668356	448.932690985684	416.114165294822	395.681704312314
BRDN0000737783	NT	572.079289546127	670.77909729061	672.723528646403	587.467275586496	544.19290864674	427.44644838677	486.327806039953	541.426360987759	413.217778993466	493.73440735462
gRNA_2671	RE60	334.612414640188	368.680066807135	305.228461273322	315.268361971638	326.318573844331	303.775144499586	357.533365881067	293.272612201703	267.43300182521	271.597310196829
gRNA_6804	RE133	977.267523651367	1019.58422788172	814.349534677225	1099.99371103219	1115.00394869467	836.8825127123	789.252329293653	845.978689043374	840.917489493713	759.257656301042
gRNA_5894	RE120	398.545804037941	385.573762590751	385.80877504948	416.050871126506	463.352657724579	375.816680744547	410.081497465892	350.799163056652	360.117363468605	391.343089133451
gRNA_4493	RE96	851.061352372686	1127.90263025902	957.19645455314	810.567018074622	540.249481772488	701.204286117622	907.743214239828	651.967576356093	573.484487668502	505.882529855437
gRNA_913	RE24	498.182255047426	538.61077145409	472.493658051103	481.516432628814	466.310227880268	331.391066726821	316.319145030223	261.68940781075	342.739045660468	340.147430022866
gRNA_2131	RE52	622.727818809282	317.998979456289	763.071153183307	903.59702652527	1033.17784105395	767.242361008837	322.50127815785	751.229075870516	1003.11512236965	1309.39406098088
gRNA_243	RE12	584.533845922313	610.160541831755	628.770630223045	696.86367441272	716.717834395253	713.211208825116	758.34166365552	765.892706480601	815.815474881961	745.37408772868
gRNA_2775	RE61	173.533485508186	167.943211025352	148.951489101381	119.733066431851	153.793648095817	250.944684586615	315.288789508952	163.555879881719	206.608889496733	212.592143764291
gRNA_2274	RE55	495.691343772189	385.573762590751	597.026870250619	660.685337793024	440.677953197631	387.823603452041	226.678214679639	374.486566349867	403.563157988946	414.771611099312
gRNA_2953	RE65	474.933749811879	504.823379886859	485.92371034713	453.951985680474	532.362628023984	488.681754194987	494.570650210122	392.534111716125	512.660375340025	444.274194315581
gRNA_422	RE16	124.545563761856	116.268376863705	107.440418368209	177.446127229938	182.383492934142	355.404912141808	353.411943795983	359.822935739781	350.462742464085	354.898721631001
gRNA_4175	RE88	599.479313573736	610.160541831755	644.642510209258	645.180336384582	588.556460982071	325.387605373075	431.718963412585	298.912470128658	330.188038354592	368.782290203363
gRNA_2329	RE55	585.364149680725	555.504467237705	665.398045575844	676.190339201465	707.845123928187	495.885907819483	446.14394071038	525.634758792283	476.9382776233	507.617975926982
gRNA_4924	RE105	435.909473166498	419.361154157981	426.098931937558	516.833380281374	495.885929437156	420.242294762274	466.751051135802	410.581657082384	431.561558902055	408.697549848903
gRNA_1610	RE42	758.0673314305	713.510210155049	710.571857844295	836.408687088691	903.044754203648	655.577979829147	641.911489751887	670.015121722352	644.928683101952	668.146737544917
gRNA_2110	RE52	772.18249532351	855.616004099579	805.803137761572	834.68590915442	779.812664383281	996.574584721964	935.562813314147	933.960472703885	918.154457529875	924.992756133612
gRNA_3261	RE70	380.279121352868	439.236090374	394.355171965133	374.704200703996	369.6962694611	326.588297643824	299.833456689886	318.087987080308	338.87719725866	325.396138414732
gRNA_2849	RE63	328.800288331301	262.349158051438	354.065015077054	285.119748121891	330.262000718583	369.813219390801	272.013857615567	337.263504031958	366.875598171769	337.544260915549
