Gene	sgRNA	Bottom|beta	Bottom|z	Bottom|p-value	Bottom|fdr	Bottom|wald-p-value	Bottom|wald-fdr	Top|beta	Top|z	Top|p-value	Top|fdr	Top|wald-p-value	Top|wald-fdr
ENSMUST00000136396_Adgrg4	6	-0.0082141	-0.22919	0.88399	0.99386	0.81872	0.98793	-0.0459	-1.4553	0.32292	0.56473	0.14558	0.38153
ENSMUST00000141552_Dach2	6	-0.0084504	-0.18851	0.87862	0.99386	0.85048	0.98793	-0.049039	-1.2429	0.29398	0.54408	0.21392	0.45276
ENSMUST00000129662_Prickle3	6	-0.038691	-0.85979	0.39155	0.93232	0.38991	0.98793	-0.042073	-1.0624	0.36697	0.60926	0.28804	0.51697
ENSMUST00000033414_Slc6a14	6	-0.039884	-0.98975	0.3767	0.91084	0.32229	0.98793	0.021644	0.61053	0.46556	0.68864	0.54151	0.73808
ENSMUST00000076354_Tspan7	6	-0.037794	-0.92055	0.40205	0.93353	0.35728	0.98793	-0.029523	-0.81724	0.54187	0.736	0.41379	0.63834
ENSMUST00000115264_Dock11	6	0.0066426	0.13368	0.83636	0.98925	0.89366	0.99254	-0.089781	-2.0527	0.061204	0.26816	0.040099	0.19821
ENSMUST00000088652_Htatsf1	6	-0.066198	-1.2887	0.14366	0.76327	0.19749	0.98793	-0.094228	-2.0849	0.050704	0.24242	0.037076	0.19327
ENSMUST00000133447_Klhl4	6	0.074794	1.2972	0.072727	0.65051	0.19457	0.98793	-0.10791	-2.1261	0.029193	0.20339	0.033491	0.18954
ENSMUST00000049896_Gpkow	6	-0.036108	-0.83531	0.42407	0.93521	0.40355	0.98793	0.022198	0.58395	0.4589	0.68528	0.55925	0.74886
ENSMUST00000101588_Ccdc160	6	0.010695	0.26422	0.76133	0.97692	0.79161	0.98793	-0.0045096	-0.1266	0.97132	0.98137	0.89925	0.94144
ENSMUST00000140102_Ppp1r2-ps7	6	0.024771	0.74657	0.53214	0.9702	0.45532	0.98793	-0.08489	-2.9067	0.0758	0.29118	0.0036531	0.048357
ENSMUST00000125623_Mid1ip1	6	0.016021	0.55078	0.66812	0.9746	0.58179	0.98793	0.019932	0.7785	0.48963	0.70165	0.43627	0.65037
ENSMUST00000059509_Ube2dnl1	6	0.017297	0.34863	0.64533	0.9746	0.72736	0.98793	-0.016951	-0.38824	0.78284	0.87719	0.69784	0.83081
ENSMUST00000062695_Ube2dnl2	6	0.031029	0.81384	0.43662	0.94011	0.41574	0.98793	0.011515	0.34316	0.64507	0.79319	0.73148	0.84886
ENSMUST00000009875_Kcnd1	6	-0.027689	-0.46181	0.53854	0.9702	0.64422	0.98793	-0.037409	-0.70896	0.42458	0.64717	0.47835	0.68549
ENSMUST00000178974_Cldn34b4	6	0.0091696	0.19412	0.78796	0.97873	0.84608	0.98793	-0.0307	-0.73846	0.51959	0.72163	0.46023	0.67208
ENSMUST00000078944_Phf6	6	-0.051446	-1.0249	0.25198	0.85556	0.30543	0.98793	0.039509	0.89435	0.23662	0.4928	0.37113	0.60261
ENSMUST00000026036_Nr0b1	6	-0.074054	-0.96065	0.099616	0.71091	0.33673	0.98793	0.28641	4.2266	0	0	2.3727e-05	0.00092652
ENSMUST00000119715_Gm5937	6	-0.015223	-0.37797	0.74776	0.97692	0.70545	0.98793	-0.012944	-0.36527	0.86479	0.93546	0.71491	0.84088
ENSMUST00000040961_Pabpc5	6	-0.019354	-0.34473	0.67887	0.9746	0.7303	0.98793	0.068853	1.3937	0.06991	0.27437	0.16341	0.4037
ENSMUST00000192977_Pcdh11x	6	-0.040002	-1.1693	0.37567	0.91084	0.24228	0.98793	0.055441	1.8417	0.11985	0.35589	0.065518	0.26296
ENSMUST00000088217_Tbl1x	6	-0.049839	-1.0056	0.26633	0.85633	0.31459	0.98793	-0.0209	-0.47914	0.70294	0.83308	0.63184	0.79081
ENSMUST00000026723_Hprt	6	-0.060299	-1.1087	0.18156	0.80565	0.26758	0.98793	-0.0034482	-0.072153	0.95262	0.97382	0.94248	0.96565
ENSMUST00000114746_Vgll1	6	0.011053	0.25465	0.7557	0.97692	0.799	0.98793	-0.10552	-2.7616	0.032522	0.20451	0.0057523	0.062396
ENSMUST00000115666_Otud5	6	-0.0092454	-0.20805	0.86044	0.99299	0.83519	0.98793	0.05595	1.4306	0.11754	0.35038	0.15254	0.38717
ENSMUST00000113343_Cldn34c1	6	0.041092	0.61007	0.30474	0.875	0.54181	0.98793	0.070499	1.1905	0.064789	0.27282	0.23387	0.47115
ENSMUST00000113320_Diaph2	6	0.027423	0.51261	0.49526	0.9598	0.60822	0.98793	0.047735	1.0139	0.16492	0.40757	0.31065	0.53661
ENSMUST00000035766_Wdr44	6	-0.082932	-0.94822	0.065813	0.65051	0.34302	0.98793	0.13321	1.7322	0.0028169	0.051163	0.083241	0.29145
ENSMUST00000126715_Pim2	6	0.0074304	0.1404	0.81997	0.98925	0.88834	0.99254	-0.069922	-1.5011	0.13982	0.39	0.13332	0.36664
ENSMUST00000117902_Mageb17-ps	6	-0.069452	-1.1425	0.12369	0.74884	0.25325	0.98793	0.060405	1.1302	0.09936	0.33447	0.25841	0.49103
ENSMUST00000118752_Gm6982	6	-0.070246	-1.1872	0.1201	0.73858	0.23517	0.98793	0.08225	1.5808	0.040461	0.21477	0.11392	0.33323
ENSMUST00000113947_Arx	6	0.014971	0.34909	0.6822	0.9746	0.72702	0.98793	-0.08005	-2.1206	0.090653	0.32778	0.033951	0.18969
ENSMUST00000115020_Ocrl	6	-0.050951	-1.439	0.25634	0.85556	0.15016	0.98793	-0.080168	-2.5725	0.090397	0.32778	0.010096	0.080456
ENSMUST00000207461_Gm45208	6	0.0036725	0.085443	0.88732	0.99386	0.93191	0.99863	-0.052375	-1.3844	0.26453	0.52111	0.16622	0.40408
ENSMUST00000115687_Wdr45	6	0.030791	0.56747	0.44123	0.94308	0.5704	0.98793	0.099699	2.088	0.01767	0.16522	0.036794	0.19327
ENSMUST00000063384_Cxx1c	6	-0.036456	-0.62927	0.41895	0.93486	0.52917	0.98793	0.031341	0.6148	0.32394	0.56473	0.53869	0.73552
ENSMUST00000146263_Pcyt1b	6	0.018752	0.41459	0.62151	0.9746	0.67844	0.98793	-0.067601	-1.6981	0.15211	0.39866	0.089493	0.30509
ENSMUST00000115663_Slc35a2	6	-0.063348	-1.3967	0.16287	0.7913	0.1625	0.98793	0.018701	0.4686	0.51037	0.71434	0.63935	0.79385
ENSMUST00000026760_Tmem47	6	0.028152	0.59293	0.48451	0.95427	0.55323	0.98793	-0.028701	-0.68676	0.55877	0.7506	0.49223	0.69644
ENSMUST00000156778_Cstf2	6	-0.026687	-0.58656	0.55493	0.97309	0.5575	0.98793	0.038574	0.9635	0.24533	0.49664	0.3353	0.56194
ENSMUST00000069209_4930502E18Rik	6	-0.025881	-0.58669	0.56671	0.97457	0.55741	0.98793	0.075885	1.9555	0.051216	0.24242	0.050519	0.22611
ENSMUST00000114998_Xpnpep2	6	0.034349	0.56561	0.39334	0.93353	0.57166	0.98793	0.067466	1.2626	0.076056	0.29118	0.20673	0.44408
ENSMUST00000033489_Praf2	6	0.013785	0.42071	0.70627	0.9746	0.67396	0.98793	8.8807e-05	0.0030798	0.8758	0.94047	0.99754	0.99882
ENSMUST00000121565_AU015836	6	-0.0024052	-0.052345	0.99001	0.99641	0.95825	0.99863	0.05504	1.3611	0.12215	0.35865	0.17348	0.40932
ENSMUST00000123308_Dmd	6	-0.013811	-0.29455	0.77209	0.97692	0.76834	0.98793	-0.024264	-0.58798	0.63303	0.78601	0.55655	0.74886
ENSMUST00000114725_Gm364	6	0.072324	1.5775	0.081946	0.65051	0.11468	0.98793	-0.0039707	-0.09838	0.96031	0.97529	0.92163	0.95264
ENSMUST00000137277_Atp6ap2	6	0.014477	0.31725	0.69373	0.9746	0.75106	0.98793	-0.03061	-0.76213	0.52113	0.72163	0.44598	0.65595
ENSMUST00000037687_Tmem35a	6	-0.049351	-1.1824	0.27119	0.85645	0.23705	0.98793	0.042724	1.1635	0.20691	0.45763	0.24461	0.47879
ENSMUST00000125604_Cenpi	6	-0.047038	-0.98255	0.29424	0.875	0.32583	0.98793	-0.036376	-0.86381	0.44174	0.66809	0.38769	0.61417
ENSMUST00000033427_Sash3	6	0.047566	1.0091	0.23944	0.85556	0.31293	0.98793	-0.039322	-0.94764	0.39846	0.62817	0.34332	0.57049
ENSMUST00000088629_Zic3	6	0.0067328	0.1477	0.83431	0.98925	0.88258	0.99254	0.050968	1.2707	0.14289	0.39021	0.20383	0.44221
ENSMUST00000113915_Klhl15	6	-0.054811	-0.93974	0.22996	0.85556	0.34735	0.98793	-0.028725	-0.56035	0.55851	0.7506	0.57524	0.75503
ENSMUST00000115987_Gm4984	6	-0.01441	-0.38285	0.76056	0.97692	0.70183	0.98793	-0.013668	-0.41259	0.85019	0.92867	0.67991	0.82414
ENSMUST00000153424_Drp2	6	-0.032459	-0.64336	0.47247	0.94962	0.51999	0.98793	-0.088404	-1.9911	0.065813	0.27282	0.046467	0.21491
ENSMUST00000062542_4930550L24Rik	6	0.045509	0.8224	0.25813	0.85633	0.41085	0.98793	-0.026867	-0.55161	0.59078	0.76667	0.58121	0.75503
ENSMUST00000146063_Tab3	6	-0.076427	-2.164	0.090141	0.69533	0.030464	0.76266	0.048509	1.5609	0.15928	0.40757	0.11855	0.33736
ENSMUST00000146406_Timm17b	6	0.024755	0.65068	0.53214	0.9702	0.51526	0.98793	-0.05501	-1.6427	0.24046	0.49632	0.10044	0.31503
ENSMUST00000080713_Utp14a	6	0.0097606	0.23232	0.77772	0.97692	0.81629	0.98793	0.031569	0.85375	0.3219	0.56473	0.39324	0.6186
ENSMUST00000113896_Apoo	6	0.077166	1.6054	0.064533	0.65051	0.10841	0.98793	-0.23567	-5.5676	0.00076825	0.022222	2.582e-08	3.3609e-06
ENSMUST00000033458_3830403N18Rik	6	-0.0077997	-0.21252	0.89193	0.99386	0.8317	0.98793	0.020337	0.62963	0.48476	0.69852	0.52894	0.72768
ENSMUST00000146644_Gm14827	6	-0.058576	-1.4271	0.19693	0.85556	0.15356	0.98793	-0.00662	-0.18332	0.98207	0.9884	0.85455	0.913
ENSMUST00000041096_Pcsk1n	6	0.032284	0.77546	0.41895	0.93486	0.43807	0.98793	0.081797	2.2325	0.040717	0.21477	0.025583	0.14911
ENSMUST00000055104_Tceal1	6	-0.0095056	-0.19431	0.85455	0.99299	0.84593	0.98793	-0.016058	-0.37302	0.79898	0.88656	0.70913	0.83787
ENSMUST00000169457_Rpl36a	6	-0.021949	-0.52377	0.63303	0.9746	0.60044	0.98793	-0.059937	-1.6251	0.20282	0.45387	0.10414	0.32152
ENSMUST00000136348_Bcorl1	6	-0.062604	-1.1054	0.16799	0.79515	0.26897	0.98793	0.21959	4.4075	0.00051216	0.015385	1.0456e-05	0.00048036
ENSMUST00000134672_BC065397	6	-0.080606	-2.3317	0.074008	0.65051	0.019717	0.76266	-0.050213	-1.6503	0.28425	0.53623	0.098874	0.31431
ENSMUST00000096368_Gspt2	6	-0.022575	-0.68349	0.62023	0.9746	0.49429	0.98793	-0.064769	-2.2279	0.16876	0.40805	0.025887	0.14976
ENSMUST00000101388_Zxdb	6	-0.032857	-0.64608	0.46863	0.94962	0.51823	0.98793	0.056149	1.2548	0.11677	0.35038	0.20956	0.44474
ENSMUST00000101560_Zfp449	6	-0.029732	-0.53225	0.50627	0.96912	0.59455	0.98793	-0.02717	-0.55281	0.58592	0.76522	0.58039	0.75503
ENSMUST00000068106_Smim10l2a	6	-0.078349	-2.0995	0.082458	0.65051	0.035772	0.76266	0.055356	1.6857	0.12036	0.35606	0.091853	0.30921
ENSMUST00000033418_Il13ra1	6	-0.0032098	-0.085034	0.97618	0.99556	0.93223	0.99863	-0.010688	-0.3218	0.90653	0.94886	0.74761	0.8585
ENSMUST00000074950_Hnrnph2	6	-0.014497	-0.32799	0.7598	0.97692	0.74292	0.98793	-0.0052805	-0.13576	0.98848	0.99332	0.89201	0.93889
ENSMUST00000124226_Armcx4	6	-0.0061342	-0.13009	0.92804	0.99556	0.89649	0.99314	0.0036756	0.088573	0.79923	0.88656	0.92942	0.95795
