sgRNA	Gene	R1_Unsorted	R2_Unsorted	R1_Selected	R2_Selected	R1_Negative	R2_Negative	R1_Low	R2_Low	R1_High	R2_High	PlasmidLib
Rcor2_p2_4	Rcor2_p2	2402.349153732168	2281.6350263817585	1596.0783935692816	1806.1376835743972	1093.2141222634425	1321.0945483684889	2004.4046127498648	2191.1214359197647	4238.837637192249	3226.766532093164	1834.5657127790398
Zfp740_p2_11	Zfp740_p2	417.4260756186709	403.99460769582487	303.4369569523349	329.5073291002496	306.1784615315925	407.2547103993086	487.30399196906495	385.16261035020824	510.24574596509734	434.1467697725348	280.65768171020494
Zbtb2_p2_4	Zbtb2_p2	1426.1261576628733	1821.5699927067976	1470.6577846956498	1552.740622744883	1345.4188165378632	1824.368662032675	1404.374878060245	1956.067516612387	1416.7988674370663	1942.5786395227533	1544.552775011828
Foxn3_p2_7	Foxn3_p2	915.0896577635851	590.8960276262777	703.973740129417	751.5319304098363	955.826351063369	567.2870491741046	944.0780952846463	600.4347641713216	1023.794053392752	657.0870028989716	678.2560641329953
Zzz3_p1_4	Zzz3_p1	441.30628589433854	523.3239758052679	521.911565958016	463.04211115609075	473.00646941739615	484.51170153196875	492.00089791575476	442.18064028120585	501.9893423087042	555.3949667360355	530.4430184322874
Grhl2_p1_12	Grhl2_p1	845.3594437586355	431.3109690702757	562.369826884994	492.2101181580492	726.1925049146746	362.0041870216076	893.5863563577311	565.5257662543843	1155.8965118950425	525.4088535085031	417.24442014250474
Esx1_p1_11	Esx1_p1	1745.1657669457934	1370.1311784132424	1489.8754586359644	1389.5820835776778	2181.521538412597	1380.6927986708265	1917.5118527361037	1412.6507823720628	1806.5011200188237	1372.842488199637	1364.9318587172968
Cic_p3_8	Cic_p3	524.4094176536621	297.6045686584902	390.4222179453376	358.2195859928025	631.9837475203384	336.61974707801926	457.9483298022538	207.126720973828	505.29190377126145	322.02478118263093	352.69315334915757
Myc_p2_1	Myc_p2	539.6927522300894	983.3890094802285	831.4172620493977	783.4344380682284	507.35341221741453	803.4727077796657	550.712222249377	823.8523508397203	757.9378556568922	1007.7941532557641	766.1954710688595
Zfp715_p1_7	Zfp715_p1	661.9594288415078	573.6435888634667	555.2896312227729	555.5593833654277	654.5545956460647	460.23093289027554	535.4472779226352	631.8528622965651	617.5789934982084	481.0815556938899	607.1561180997434
