sgRNA	Gene	PlasmidLib	R1_2iSL	R1_High	R1_Negative	R1_Selected	R2_2iSL	R2_High	R2_Negative	R2_Selected
Smarcal1_p1_8	Smarcal1_p1	2800.294359864278	5825.917428374317	4674.310535205398	5130.136520102194	5176.850192288468	4885.714457722863	3368.4892152816305	5240.9572569363245	4618.473030510434
Usf1_p1_1	Usf1_p1	2608.353444948113	3146.341163098296	2031.774009662508	2070.14323827826	2869.2487423516804	2963.6759256380697	3389.32017805347	2974.0965459220274	4050.469780190942
Grhl2_p1_12	Grhl2_p1	3752.3061645305884	3641.5070996769523	3719.060384468743	3721.9869023170418	3649.871616035476	4824.2911224764775	6022.598942564283	4428.71697492439	4166.276268120159
BRDN0000737934	NT	6614.394905675365	11375.233435816916	9037.527645055896	9770.372637941933	9769.486906306087	8366.370121684671	7946.399622081256	9966.157376625528	7891.384963176634
Smad7_p1_5	Smad7_p1	1152.402155390217	1208.896388804251	1050.1600093195057	741.1313777816587	1513.6060216716846	870.1639159904522	846.7173691377252	407.6643240516175	1002.2775800540554
Zfp207_p1_11	Zfp207_p1	4577.954765027388	5527.0891075463005	3872.8495071724365	5430.357535847645	4877.639283531724	7015.056746264205	6838.682542919891	8631.98322518387	6851.883869145331
Zfp36l1_p1_2	Zfp36l1_p1	4745.6823713601725	3629.1588219567866	3777.0608536027075	4385.236677687746	4609.352407244252	3603.5023344545784	3232.4752818890292	3909.871471585968	4686.0268151358105
Smarce1_p2_11	Smarce1_p2	5619.505367059321	7820.164280181126	1898.1971716570145	3667.9722425804125	7072.409804188733	8031.1010834648205	2352.673442466617	6161.290352143765	8520.048754792384
Ascl2_p2_6	Ascl2_p2	3940.9681939094203	3582.2353666201557	3689.181354914883	3371.519691467749	3908.9648610482986	3334.775242751645	3907.643545846897	3177.9287079478363	3953.9643735832615
gRNA_2588	RE58	3732.2545183599773	3811.913332215243	356.79076467256846	4102.601830228639	3981.6781265841555	4207.498464377363	187.47866494655855	7768.784902665483	5225.0784434729985
Tead4_p1_7	Tead4_p1	1828.2309090273557	2196.7586064175307	2015.9556998986995	1748.567589613676	1958.243461500142	1773.598805239363	2183.575038789329	1740.2942924476247	2442.9654358401463
Foxi3_p1_4	Foxi3_p1	4332.668904638465	5254.192169930631	3128.510153286561	3639.0806803957034	4791.55346341456	5484.591976375115	3373.390618286769	5299.636212671027	6154.287644238381
Foxm1_p1_7	Foxm1_p1	2192.4394256356886	2488.1779606134482	1789.2265932841117	1460.9081226441847	2793.192338170497	1973.2246447901136	1836.80077617576	1820.5918108214282	2255.469217288081
Ubp1_p2_12	Ubp1_p2	4255.362872546738	4870.160732833469	5118.980798565791	5682.844666244447	5588.056245663657	4540.208196961948	3603.756559528292	4161.573308026928	4812.8624923916195
BRDN0000737537	NT	5026.405417748729	5549.316007442599	6655.993230615846	5773.287817431361	6282.593299230289	6416.179227611952	5828.993523861301	6341.959768484822	6274.230078165071
Nkrf_p1_11	Nkrf_p1	3996.3309150974596	5535.732901950416	3144.3284630503695	4208.1188399467055	4611.023976566916	4256.125271447418	2833.010936970218	4200.17788416818	4568.84167854077
gRNA_2017	RE50	3570.9585721196527	4376.229624026829	7564.667247047953	4121.44415339258	4401.242026572662	4284.277633435344	12510.83117061675	2651.362289381164	4749.444653763715
Nkrf_p1_9	Nkrf_p1	3713.463982011417	5867.901572622882	5084.70779407754	5744.396255246653	4071.9428700079775	5569.049062338894	3841.474605277523	6683.224221573487	4461.307082606497
Zfp518b_p1_6	Zfp518b_p1	6047.273818699025	6260.57680412416	5771.925473816329	6398.852946474185	7276.3412615536645	9208.381675687197	8714.69454313676	13817.349892476794	7549.48009405228
Sall4_p1_8	Sall4_p1	4243.634551201663	3096.948052217632	1899.954761630771	2115.364813871717	3333.9450140520985	3053.2516228723807	3051.123370698894	3275.2122398237907	3879.517345628765
E2f8_p2_1	E2f8_p2	3673.1084677057847	4476.250673560174	3292.8448158327933	3799.8685047279955	4031.8252062640568	5269.610303012768	4811.952400295003	3656.625452099357	5576.633853258121
Prdm14_p1_9	Prdm14_p1	4098.606921665797	5149.231809309221	3806.9398831565677	4331.222017951117	4567.563174177668	5858.250599123956	3952.9815236444306	5264.120002621076	4910.746547665124
Gm38394_p1_11	Gm38394_p1	4505.56706124166	5050.4455875478925	5677.894410220357	5695.406215020407	5239.534041888344	5274.7289142833	5933.1483377204995	5741.272563726946	6394.17251209176
Pou5f1_p1_5	Pou5f1_p1	2958.81586449609	3982.319564753534	3096.8735337589437	2774.846124609634	3583.008843128941	3396.1985779980296	1889.4908584810019	5108.157515010419	3203.9794993749997
Dcp1a_p1_3	Dcp1a_p1	3410.923735701379	3084.599774497466	3070.5096841525965	2715.80684536262	3520.3249935290646	4279.159022164812	4222.5586889270635	3154.7659622630854	4880.416277016996
Srebf2_p1_8	Srebf2_p1	2821.3548938925296	4665.179322678713	3631.1808857809183	4169.178038741229	5496.119932917172	3600.9430288193125	2885.70101927546	4729.832668826153	3496.25301652969
Foxi3_p1_9	Foxi3_p1	2922.1175686744054	3194.4994462069435	3385.997084441887	3397.8989438972653	3890.577598499002	4696.325840713176	4860.966430346391	4752.995414510904	4651.56059849021
Nfrkb_p1_7	Nfrkb_p1	3905.5310079097867	5152.936292625271	4709.462334680528	5705.4554540411755	5103.301142091279	6439.212978329347	6330.161981136742	7572.673655867925	6013.665480324333
Zfp958_p1_2	Zfp958_p1	5080.380918132511	2565.972110250494	3816.6066280122286	2870.3138953069324	3678.2882945207534	5684.217815925866	6039.7538530822685	5454.054517236034	4524.724921234401
