Gene	sgRNA	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
Smarcal1_p1	8	0.0018168	0.035312	0.96643	0.99424	0.97183	0.98753
Usf1_p1	8	0.17097	1.6712	0.26014	0.66429	0.094688	0.25075
Grhl2_p1	8	0.31221	2.5085	0.044755	0.2	0.012124	0.059783
Smad7_p1	8	0.32462	2.1848	0.036364	0.19259	0.028901	0.10597
Zfp207_p1	8	-0.18552	-1.9653	0.31049	0.73871	0.049378	0.1592
Zfp36l1_p1	8	0.10957	1.1589	0.48531	0.83529	0.2465	0.42469
Smarce1_p2	8	-0.18061	-1.2728	0.32028	0.73871	0.20308	0.38904
Ascl2_p2	8	0.17059	1.4176	0.26014	0.66429	0.15631	0.35479
RE58	10	-2.7878	-13.185	0	0	1.0746e-39	1.5366e-37
Tead4_p1	8	0.28234	1.9379	0.074126	0.29444	0.052635	0.1592
Foxi3_p1	8	0.18796	1.3966	0.22098	0.632	0.16253	0.35818
Foxm1_p1	8	0.13214	1.2324	0.39441	0.8027	0.21778	0.40977
Ubp1_p2	8	0.26894	1.9391	0.083916	0.315	0.052487	0.1592
Nkrf_p1	8	0.036816	0.44385	0.7958	0.95303	0.65715	0.83301
RE50	10	0.71361	3.2754	0	0	0.0010553	0.0092148
Zfp518b_p1	8	-0.48297	-3.9876	0.0083916	0.063158	6.6757e-05	0.0010607
Sall4_p1	8	-0.075114	-0.5572	0.68392	0.94038	0.57739	0.75061
E2f8_p2	8	-0.081189	-0.8988	0.65175	0.92816	0.36876	0.56098
Prdm14_p1	8	0.02891	0.25855	0.83916	0.95303	0.79598	0.89626
Gm38394_p1	8	0.53318	2.9003	0.0013986	0.018182	0.0037286	0.023182
Pou5f1_p1	8	-0.91631	-4.6148	0.0013986	0.018182	3.9342e-06	0.00010373
Dcp1a_p1	8	0.11514	1.0664	0.46154	0.81481	0.28622	0.47045
Srebf2_p1	8	0.11962	1.0397	0.44755	0.81481	0.29846	0.48492
Nfrkb_p1	8	-0.86598	-3.962	0.0013986	0.018182	7.4315e-05	0.0010627
Zfp958_p1	8	0.32255	2.4205	0.039161	0.2	0.0155	0.068337
Son_p1	8	0.078615	0.71423	0.61818	0.92816	0.47508	0.67264
Pias1_p1	8	-0.1979	-2.0547	0.28252	0.69655	0.039906	0.13918
Zfp866_p2	1	-0.023379	-0.12047	0.87832	0.95303	0.90411	0.94371
Klf16_p1	8	0.32941	2.4142	0.034965	0.19231	0.01577	0.068337
Csde1_p1	8	0.028327	0.26183	0.84196	0.95303	0.79346	0.89626
Zfp574_p2	8	-0.06556	-0.49279	0.73147	0.95303	0.62216	0.80152
Mllt10_p2	8	0.12547	1.2701	0.41538	0.8027	0.20404	0.38904
RE53	10	0.31473	2.7724	0.016783	0.10435	0.0055651	0.031832
Nfatc4_p1	8	0.031295	0.30374	0.82517	0.95303	0.76133	0.88181
Pias2_p2	8	0.17092	1.5658	0.26014	0.66429	0.11739	0.27979
Mbd3_p1	8	-0.078578	-0.92442	0.66154	0.92816	0.35527	0.55037
