Gene	sgRNA	2iSL|beta	2iSL|z	2iSL|p-value	2iSL|fdr	2iSL|wald-p-value	2iSL|wald-fdr
Smarcal1_p1	8	-0.051421	-1.4559	0.24476	0.91795	0.14542	0.99215
Usf1_p1	8	-0.0069579	-0.16385	0.82937	0.98042	0.86985	0.99215
Grhl2_p1	8	-0.0064204	-0.10718	0.83636	0.98042	0.91464	0.99215
Smad7_p1	8	-0.017412	-0.36235	0.64196	0.98042	0.71709	0.99215
Zfp207_p1	8	0.029981	0.35758	0.60839	0.98042	0.72066	0.99215
Zfp36l1_p1	8	0.017337	0.28741	0.80559	0.98042	0.7738	0.99215
Smarce1_p2	8	-0.056742	-0.77448	0.21119	0.91795	0.43865	0.99215
Ascl2_p2	8	-0.026021	-0.53421	0.51049	0.98042	0.59319	0.99215
RE58	10	0.024677	0.50192	0.60979	0.98042	0.61573	0.99215
Tead4_p1	8	-0.062668	-0.71957	0.18042	0.91795	0.47179	0.99215
Foxi3_p1	8	-0.065822	-0.9186	0.15804	0.91795	0.3583	0.99215
Foxm1_p1	8	-0.02426	-0.46441	0.53427	0.98042	0.64235	0.99215
Ubp1_p2	8	-0.050503	-0.82246	0.24895	0.91795	0.41082	0.99215
Nkrf_p1	8	-0.017805	-0.38835	0.63916	0.98042	0.69776	0.99215
RE50	10	0.0032791	0.058577	0.98042	0.98042	0.95329	0.99215
Zfp518b_p1	8	-0.0091258	-0.25542	0.79441	0.98042	0.7984	0.99215
Sall4_p1	8	-0.097808	-1.664	0.039161	0.725	0.096116	0.99215
E2f8_p2	8	0.010967	0.13504	0.9021	0.98042	0.89258	0.99215
Prdm14_p1	8	-0.042457	-0.59558	0.30769	0.95385	0.55145	0.99215
Gm38394_p1	8	-0.0038998	-0.070869	0.88112	0.98042	0.9435	0.99215
Pou5f1_p1	8	-0.0096278	-0.18948	0.78601	0.98042	0.84971	0.99215
Dcp1a_p1	8	-0.052187	-0.8419	0.24056	0.91795	0.39984	0.99215
Srebf2_p1	8	-0.0060984	-0.12314	0.83776	0.98042	0.902	0.99215
Nfrkb_p1	8	0.1166	1.6111	0.020979	0.725	0.10716	0.99215
Zfp958_p1	8	-0.020702	-0.33341	0.58881	0.98042	0.73882	0.99215
Son_p1	8	0.022818	0.43512	0.72587	0.98042	0.66348	0.99215
Pias1_p1	8	-0.02025	-0.27611	0.58881	0.98042	0.78247	0.99215
Zfp866_p2	1	0.031151	0.14477	0.88951	0.98042	0.88489	0.99215
Klf16_p1	8	-0.044637	-1.2183	0.29371	0.95385	0.22311	0.99215
