Gene	sgRNA	Selected|beta	Selected|z	Selected|p-value	Selected|fdr	Selected|wald-p-value	Selected|wald-fdr
Rcor2_p2	12	0.079999	2.2691	0.024123	0.59474	0.023262	0.55599
Zfp740_p2	12	0.055443	1.5157	0.12171	0.72883	0.12959	0.82536
Zbtb2_p2	12	-0.032423	-0.96344	0.36491	0.90448	0.33533	0.88853
Foxn3_p2	12	-0.031189	-1.0638	0.38136	0.90448	0.28743	0.84273
Zzz3_p1	12	-0.039264	-1.4352	0.27632	0.90448	0.15124	0.82773
Grhl2_p1	12	0.021922	0.50294	0.52368	0.95792	0.61501	0.95021
Esx1_p1	12	-0.0026399	-0.057756	0.94298	0.99405	0.95394	0.99287
Cic_p3	12	-0.0036928	-0.10169	0.91623	0.99405	0.919	0.99287
Myc_p2	12	-0.051254	-1.1766	0.15219	0.77111	0.23937	0.83663
Zfp715_p1	12	0.054588	1.1738	0.12763	0.72883	0.2405	0.83663
Mitf_p2	12	-0.030186	-1.0896	0.39715	0.90448	0.27587	0.83865
Mid2_p3	12	0.13806	2.7677	0.0002193	0.066667	0.0056462	0.55599
Tcf7_p2	12	0.023387	0.92881	0.49452	0.95756	0.35299	0.89277
Eomes_p2	12	0.0187	0.62024	0.58509	0.9596	0.5351	0.95021
Zfp236_p1	12	-0.097643	-3.0515	0.0076754	0.51111	0.0022771	0.55599
Tfdp2_p1	12	0.020907	0.73242	0.54364	0.95869	0.46391	0.94229
Tcf25_p1	12	0.029868	0.85626	0.38728	0.90448	0.39186	0.90935
Zkscan17_p1	12	-0.02041	-0.5869	0.55833	0.95941	0.55727	0.95021
Tfdp1_p1	12	-0.053273	-1.1864	0.13487	0.73214	0.23546	0.83663
Mis18bp1_p1	12	-0.0046964	-0.19119	0.89649	0.99405	0.84837	0.98637
Csrnp1_p1	12	0.030548	0.77936	0.37632	0.90448	0.43577	0.92552
Atf1_p1	12	-0.020855	-0.81211	0.54825	0.95941	0.41673	0.91455
Zfp57_p2	12	0.013905	0.41013	0.67785	0.97327	0.68171	0.96502
Mbd1_p1	12	0.037367	1.0621	0.29035	0.90448	0.28818	0.84273
Hif1a_p2	12	-0.049208	-1.7627	0.16842	0.78769	0.077951	0.79235
Sp3_p1	12	-0.003894	-0.12648	0.9125	0.99405	0.89935	0.99128
Zfp414_p1	12	-0.051638	-1.5991	0.14912	0.77111	0.10981	0.79235
Tead2_p3	12	0.020301	0.52614	0.55482	0.95941	0.59879	0.95021
Zic3_p1	12	0.019889	0.52332	0.5625	0.95941	0.60075	0.95021
Mbd2_p1	12	0.008411	0.20558	0.80351	0.99011	0.83712	0.98637
Zfp867_p1	12	-0.019953	-0.57646	0.56798	0.95941	0.5643	0.95021
Irf3_p1	12	-0.012441	-0.40943	0.72719	0.98907	0.68223	0.96502
Mafg_p1	12	-0.017557	-0.65178	0.62018	0.9596	0.51454	0.95021
Xist_p1	12	0.011681	0.32959	0.72939	0.98907	0.74171	0.97454
Klf11_p1	12	-0.03503	-1.3258	0.32917	0.90448	0.1849	0.83494
Usf2_p1	12	0.031142	0.91383	0.36908	0.90448	0.36081	0.89277
Msl2_p1	12	-0.014863	-0.56957	0.67588	0.97327	0.56897	0.95021
Dmtf1_p1	12	0.061553	2.0696	0.088816	0.72883	0.038494	0.66686
Mkrn2_p1	12	0.0055921	0.24874	0.8682	0.99405	0.80356	0.98253
Thap4_p1	12	0.022356	0.51417	0.51382	0.95792	0.60713	0.95021
