Sample	Xist	Oct4	Ftx	Xert	Otx2	Nanog
R1_d0_2i	-9.87199001424496	2.94689794743	-12.124308974458	-17.7685526095022	-5.71366078313097	0.15257511021472
R1_d1_DIFF	-4.28980689368715	2.57693119275912	-8.48419578336136	-11.229361991977	-2.45146224586284	-2.05854786464984
R1_d2_DIFF	-0.66937602637169	2.74925701994905	-7.09405979447526	-7.7994383110077	-2.40730230540962	-4.72183381257966
R1_d3_DIFF	-0.837593043609399	2.65877155411256	-5.403318690105	-8.08336966386851	NA	-4.05870276529697
R1_d4_DIFF	0.547814682155678	2.57316200038802	-6.71569748675349	-8.16402675526201	-2.50904994405617	-0.794307764160113
R2_d0_2i	-13.6634126382048	2.5796295666412	-15.8268789808351	-15.8268789808351	-7.50130028977889	-0.28745118121147
R2_d1_DIFF	-6.77317115506401	2.50188724112694	-12.245563723165	-8.03517333222326	-4.15818022434122	-2.08281188791271
R2_d2_DIFF	-1.75471331628122	2.8524517652092	-6.85287111375426	-11.7845443655777	-2.48962317157256	-3.48209431698323
R2_d3_DIFF	-1.57520954003073	2.89020637206884	-5.81928272779742	-7.91950671239677	-2.88199389164266	-3.12992402655773
R2_d4_DIFF	-1.0076031669173	2.83871551315961	-5.08663367113071	-7.99243223184484	-4.12768490658929	-1.96540093301437
R3_d0_2i	-11.7220997810811	1.47119365168418	-11.0355968438056	-19.840378081816	-6.32731162599783	-0.579943116012156
R3_d1_DIFF	-4.94592951824364	2.10397755476156	-8.29057598135023	-10.7220041622661	-3.44865687868333	-3.48976608284694
R3_d2_DIFF	-0.456897345769502	2.28467058370024	-5.75452416180809	-8.56095056904849	-3.29576952084619	-5.14840399245523
R3_d3_DIFF	-1.28242810825128	1.99069135518172	-6.48886597337016	-9.72883220681372	-3.4917849658849	-3.24274366481863
R3_d4_DIFF	-0.238296712080174	2.70503571721926	-5.74565320329561	-8.96852288716582	-3.42167294797515	-1.48708242584783
