Sample	Oct4	Xist	Ftx	Gata4	Gata6	Nestin	Nanog	Xert	Otx2
R1_d0_2i	2.94689794743	-9.87199001424496	-12.124308974458	-16.210534861866	-16.6191693660388	-10.7470605114633	0.15257511021472	-17.7685526095022	-5.71366078313097
R1_d1_DIFF	2.57693119275912	-4.28980689368715	-8.48419578336136	-12.1188925461874	-12.2546723547245	-10.1742390862014	-2.05854786464984	-11.229361991977	-2.45146224586284
R1_d1_RA	2.5104539310209	-4.7396640551818	-8.35794698332423	-11.2990845346324	-7.5484187203169	-10.4985570540222	-0.587111556952809	-17.2942144605725	-5.10088109833591
R1_d2_DIFF	2.74925701994905	-0.66937602637169	-7.09405979447526	-14.4589878876815	-16.4285233077934	-11.619099927697	-4.72183381257966	-7.7994383110077	-2.40730230540962
R1_d2_RA	1.62655003193454	-3.56866818144044	-7.57577359446099	-10.8662696504853	-8.29532397033249	-11.1317228474056	-1.70240315339296	-13.4833956656781	-3.63480806390953
R1_d3_DIFF	2.65877155411256	-0.837593043609399	-5.403318690105	-9.8846638880307	-12.169138801045	-8.93878424907509	-4.05870276529697	-8.08336966386851	NA
R1_d3_RA	-0.56303248914066	-2.4242810427752	-6.10609697986392	-7.78285593392939	-6.69745310112004	-9.35402700194253	-4.99358845696618	-11.8329392481636	NA
R1_d4_DIFF	2.57316200038802	0.547814682155678	-6.71569748675349	-6.98273600432882	-6.58392987478707	-6.8063321338066	-0.794307764160113	-8.16402675526201	-2.50904994405617
R1_d4_RA	0.701014414277861	-0.951186511064403	-6.5595247773451	-4.26564343223001	-4.24483540346455	-5.68037629175571	-2.40453244614321	-11.1093593029348	-3.60912331570069
R2_d0_2i	2.5796295666412	-13.6634126382048	-15.8268789808351	-13.883173534769	-15.8268789808351	-12.319917353351	-0.28745118121147	-15.8268789808351	-7.50130028977889
R2_d1_DIFF	2.50188724112694	-6.77317115506401	-12.245563723165	-11.8881332966781	-12.5677298160558	-12.0811377931076	-2.08281188791271	-8.03517333222326	-4.15818022434122
R2_d2_DIFF	2.8524517652092	-1.75471331628122	-6.85287111375426	-10.3378264534059	-14.4588303959851	-10.4297430225837	-3.48209431698323	-11.7845443655777	-2.48962317157256
R2_d2_RA	1.60173304069443	-5.03964042565104	-8.63113231600747	-11.4357111555268	-7.45463722050653	-9.74854599024666	-1.73641562675936	-11.6699549294019	-4.85404863165294
R2_d3_DIFF	2.89020637206884	-1.57520954003073	-5.81928272779742	-13.1490350340003	-12.4556314500566	-6.93194596936156	-3.12992402655773	-7.91950671239677	-2.88199389164266
R2_d3_RA	0.691353199567178	-6.00057270286317	-8.97958970870273	-9.48172939581663	-7.48489989124711	-7.78176043064911	-2.90769179224327	-12.4303680048984	-5.15720706019931
R2_d4_DIFF	2.83871551315961	-1.0076031669173	-5.08663367113071	-8.14992038686082	-8.66586471792547	-3.27922405670149	-1.96540093301437	-7.99243223184484	-4.12768490658929
R2_d4_RA	0.273201273335474	-2.28262166871532	-6.58438756961263	-7.17075075826983	-4.81373383974226	-6.07537957096763	-2.30494243043167	-12.9827734610055	-4.91592614736406
R3_d0_2i	1.47119365168418	-11.7220997810811	-11.0355968438056	-14.5909507716443	-17.3277376050397	-9.34601337757054	-0.579943116012156	-19.840378081816	-6.32731162599783
R3_d1_DIFF	2.10397755476156	-4.94592951824364	-8.29057598135023	-11.9557646918216	-13.0409064827467	-8.85711716157579	-3.48976608284694	-10.7220041622661	-3.44865687868333
R3_d1_RA	2.03605215294235	-6.32090612735709	-9.38700068695583	-9.28388388325473	-7.34842458496046	-10.6158973520775	-2.10260076356201	-16.2118335359988	-6.2560096056163
R3_d2_DIFF	2.28467058370024	-0.456897345769502	-5.75452416180809	-11.3464390598152	-17.0852624660591	-8.94006999823016	-5.14840399245523	-8.56095056904849	-3.29576952084619
R3_d2_RA	0.987086124793848	-3.53717135270465	-7.91520193827858	-7.77758368774782	-7.43390021620933	-8.75932252471119	-2.99009987778092	-11.6458230650607	-5.0038072761229
R3_d3_DIFF	1.99069135518172	-1.28242810825128	-6.48886597337016	-9.45104047144898	-10.5933373904921	-8.51554735532256	-3.24274366481863	-9.72883220681372	-3.4917849658849
R3_d3_RA	-0.769790202423952	-2.71112604479891	-6.78767232191528	-6.7684758372826	-5.98026911557509	-6.01442001245193	-3.65480550356162	-16.0545872074579	-5.58685065650732
R3_d4_DIFF	2.70503571721926	-0.238296712080174	-5.74565320329561	-7.12933435933145	-7.01970387969256	-4.25188936851621	-1.48708242584783	-8.96852288716582	-3.42167294797515
R3_d4_RA	-0.0811564851869804	-2.0348527389962	-7.59355146690326	-5.80600429319332	-6.03540018216739	-7.04816801350234	-3.19408421554741	-17.7979076909764	-5.0441123638393
