cell	stage	embryo	run	sex
E3.5_P11.P6.P10_cell181_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P11.P6.P10_cell182_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P11.P6.P10_cell183_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P11.P6.P10_cell184_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P11.P6.P10_cell185_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P11.P6.P10_cell186_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P11.P6.P10_cell187_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P11.P6.P10_cell189_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P11.P6.P10_cell190_embryo_single	E3.5	embryo	P11.P6.P10	XX
E3.5_P8_Cell22_embryo5_single	E3.5	embryo5	P8	XX
E3.5_P8_Cell25_embryo1_double	E3.5	embryo1	P8	XY
E3.5_P8_Cell2_embryo1_single	E3.5	embryo1	P8	XY
E3.5_P8_Cell3_embryo2_single	E3.5	embryo2	P8	XX
E3.5_P8_Cell58_embryo5_double	E3.5	embryo5	P8	XX
E3.5_P8_Cell5_embryo3_single	E3.5	embryo3	P8	XY
E3.5_P8_Cell61_embryo1_single	E3.5	embryo1	P8	XY
E3.5_P8_Cell63_embryo2_single	E3.5	embryo2	P8	XX
E3.5_P8_Cell65_embryo3_single	E3.5	embryo3	P8	XY
E3.5_P8_Cell70_embryo5_double	E3.5	embryo5	P8	XX
E3.5_P8_Cell77_embryo3_single	E3.5	embryo3	P8	XY
E3.5_P8_Cell79_embryo4_single	E3.5	embryo4	P8	XY
E3.5_P8_Cell7_embryo4_single	E3.5	embryo4	P8	XY
E3.5_P8_Cell80_embryo4_single	E3.5	embryo4	P8	XY
E3.5_P8_Cell87_embryo2_single	E3.5	embryo2	P8	XX
E3.5_P8_Cell91_embryo4_single	E3.5	embryo4	P8	XY
E3.5_P9_Cell10_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell11_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell12_embryo9_double	E3.5	embryo9	P9	XY
E3.5_P9_Cell13_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell14_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell15_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell16_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell17_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell18_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell1_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell22_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell23_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell24_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell25_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell26_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell27_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell28_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell29_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell30_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell33_embryo8_single	E3.5	embryo8	P9	XY
E3.5_P9_Cell34_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell35_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell36_embryo9_single	E3.5	embryo9	P9	XY
E3.5_P9_Cell37_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell38_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell39_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell3_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell40_embryo6_single	E3.5	embryo6	P9	XX
E3.5_P9_Cell41_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell42_embryo7_single	E3.5	embryo7	P9	XX
E3.5_P9_Cell43_embryo7_double	E3.5	embryo7	P9	XX
E3.5_P9_Cell45_embryo8_single	E3.5	embryo8	P9	XY
