SRR5763563	E3.5_P11.P6.P10_cell181_embryo_single
SRR5763564	E3.5_P11.P6.P10_cell182_embryo_single
SRR5763565	E3.5_P11.P6.P10_cell183_embryo_single
SRR5763566	E3.5_P11.P6.P10_cell184_embryo_single
SRR5763567	E3.5_P11.P6.P10_cell185_embryo_single
SRR5763568	E3.5_P11.P6.P10_cell186_embryo_single
SRR5763569	E3.5_P11.P6.P10_cell187_embryo_single
SRR5763570	E3.5_P11.P6.P10_cell189_embryo_single
SRR5763571	E3.5_P11.P6.P10_cell190_embryo_single
SRR5763572	E3.5_P8_Cell22_embryo5_single
SRR5763573	E3.5_P8_Cell25_embryo1_double
SRR5763574	E3.5_P8_Cell2_embryo1_single
SRR5763575	E3.5_P8_Cell3_embryo2_single
SRR5763576	E3.5_P8_Cell58_embryo5_double
SRR5763577	E3.5_P8_Cell5_embryo3_single
SRR5763578	E3.5_P8_Cell61_embryo1_single
SRR5763579	E3.5_P8_Cell63_embryo2_single
SRR5763580	E3.5_P8_Cell65_embryo3_single
SRR5763581	E3.5_P8_Cell70_embryo5_double
SRR5763582	E3.5_P8_Cell77_embryo3_single
SRR5763583	E3.5_P8_Cell79_embryo4_single
SRR5763584	E3.5_P8_Cell7_embryo4_single
SRR5763585	E3.5_P8_Cell80_embryo4_single
SRR5763586	E3.5_P8_Cell87_embryo2_single
SRR5763587	E3.5_P8_Cell91_embryo4_single
SRR5763588	E3.5_P9_Cell10_embryo9_single
SRR5763589	E3.5_P9_Cell11_embryo9_single
SRR5763590	E3.5_P9_Cell12_embryo9_double
SRR5763591	E3.5_P9_Cell13_embryo6_single
SRR5763592	E3.5_P9_Cell14_embryo6_single
SRR5763593	E3.5_P9_Cell15_embryo6_single
SRR5763594	E3.5_P9_Cell16_embryo6_single
SRR5763595	E3.5_P9_Cell17_embryo7_single
SRR5763596	E3.5_P9_Cell18_embryo7_single
SRR5763597	E3.5_P9_Cell1_embryo6_single
SRR5763598	E3.5_P9_Cell22_embryo9_single
SRR5763599	E3.5_P9_Cell23_embryo9_single
SRR5763600	E3.5_P9_Cell24_embryo9_single
SRR5763601	E3.5_P9_Cell25_embryo6_single
SRR5763602	E3.5_P9_Cell26_embryo6_single
SRR5763603	E3.5_P9_Cell27_embryo6_single
SRR5763604	E3.5_P9_Cell28_embryo6_single
SRR5763605	E3.5_P9_Cell29_embryo7_single
SRR5763606	E3.5_P9_Cell30_embryo7_single
SRR5763607	E3.5_P9_Cell33_embryo8_single
SRR5763608	E3.5_P9_Cell34_embryo9_single
SRR5763609	E3.5_P9_Cell35_embryo9_single
SRR5763610	E3.5_P9_Cell36_embryo9_single
SRR5763611	E3.5_P9_Cell37_embryo6_single
SRR5763612	E3.5_P9_Cell38_embryo6_single
SRR5763613	E3.5_P9_Cell39_embryo6_single
SRR5763614	E3.5_P9_Cell3_embryo6_single
SRR5763615	E3.5_P9_Cell40_embryo6_single
SRR5763616	E3.5_P9_Cell41_embryo7_single
SRR5763617	E3.5_P9_Cell42_embryo7_single
SRR5763618	E3.5_P9_Cell43_embryo7_double
SRR5763619	E3.5_P9_Cell45_embryo8_single
SRR5763620	E3.5_P9_Cell46_embryo9_single
SRR5763621	E3.5_P9_Cell47_embryo9_double
SRR5763622	E3.5_P9_Cell49_embryo6_single
SRR5763623	E3.5_P9_Cell4_embryo6_single
SRR5763624	E3.5_P9_Cell50_embryo6_single
SRR5763625	E3.5_P9_Cell51_embryo6_single
SRR5763626	E3.5_P9_Cell52_embryo6_single
SRR5763627	E3.5_P9_Cell53_embryo7_single
SRR5763628	E3.5_P9_Cell54_embryo7_single
SRR5763629	E3.5_P9_Cell56_embryo8_single
SRR5763630	E3.5_P9_Cell57_embryo8_single
SRR5763631	E3.5_P9_Cell58_embryo9_single
SRR5763632	E3.5_P9_Cell59_embryo9_double
SRR5763633	E3.5_P9_Cell5_embryo7_single
SRR5763634	E3.5_P9_Cell61_embryo6_single
SRR5763635	E3.5_P9_Cell62_embryo6_single
SRR5763636	E3.5_P9_Cell63_embryo6_single
SRR5763637	E3.5_P9_Cell65_embryo7_single
SRR5763638	E3.5_P9_Cell66_embryo7_single
SRR5763639	E3.5_P9_Cell68_embryo8_single
SRR5763640	E3.5_P9_Cell69_embryo8_single
SRR5763641	E3.5_P9_Cell6_embryo7_single
SRR5763642	E3.5_P9_Cell70_embryo9_single
SRR5763643	E3.5_P9_Cell71_embryo9_double
SRR5763644	E3.5_P9_Cell73_embryo6_single
SRR5763645	E3.5_P9_Cell74_embryo6_single
SRR5763646	E3.5_P9_Cell75_embryo6_single
SRR5763647	E3.5_P9_Cell77_embryo7_single
SRR5763648	E3.5_P9_Cell78_embryo7_single
SRR5763649	E3.5_P9_Cell80_embryo8_single
SRR5763650	E3.5_P9_Cell81_embryo8_single
SRR5763651	E3.5_P9_Cell82_embryo9_single
SRR5763652	E3.5_P9_Cell83_embryo9_double
SRR5763653	E3.5_P9_Cell85_embryo6_single
SRR5763654	E3.5_P9_Cell86_embryo6_single
SRR5763655	E3.5_P9_Cell87_embryo6_single
SRR5763656	E3.5_P9_Cell89_embryo7_single
SRR5763657	E3.5_P9_Cell8_embryo8_single
SRR5763658	E3.5_P9_Cell90_embryo7_single
SRR5763659	E3.5_P9_Cell92_embryo8_single
SRR5763660	E3.5_P9_Cell94_embryo9_single
SRR5763661	E3.5_P9_Cell9_embryo8_single
SRR5763662	E4.5_P1_Cell13_embryo1_single
SRR5763663	E4.5_P1_Cell19_embryo2_single
SRR5763664	E4.5_P1_Cell1_embryo1_single
SRR5763665	E4.5_P1_Cell20_embryo2_double
SRR5763666	E4.5_P1_Cell21_embryo2_double
SRR5763667	E4.5_P1_Cell25_embryo1_single
SRR5763668	E4.5_P1_Cell27_embryo1_double
SRR5763669	E4.5_P1_Cell28_embryo1_double
SRR5763670	E4.5_P1_Cell2_embryo1_single
SRR5763671	E4.5_P1_Cell32_embryo2_double
SRR5763672	E4.5_P1_Cell33_embryo2_double
SRR5763673	E4.5_P1_Cell37_embryo1_single
SRR5763674	E4.5_P1_Cell38_embryo1_single
SRR5763675	E4.5_P1_Cell39_embryo1_double
SRR5763676	E4.5_P1_Cell44_embryo2_double
SRR5763677	E4.5_P1_Cell49_embryo1_single
SRR5763678	E4.5_P1_Cell50_embryo1_single
SRR5763679	E4.5_P1_Cell51_embryo1_double
SRR5763680	E4.5_P1_Cell55_embryo2_single
SRR5763681	E4.5_P1_Cell61_embryo1_single
SRR5763682	E4.5_P1_Cell62_embryo1_single
SRR5763683	E4.5_P1_Cell67_embryo2_single
SRR5763684	E4.5_P1_Cell68_embryo2_double
SRR5763685	E4.5_P1_Cell73_embryo1_single
SRR5763686	E4.5_P1_Cell74_embryo1_single
SRR5763687	E4.5_P1_Cell78_embryo2_single
SRR5763688	E4.5_P1_Cell79_embryo2_single
SRR5763689	E4.5_P1_Cell7_embryo2_single
SRR5763690	E4.5_P1_Cell85_embryo1_single
SRR5763691	E4.5_P1_Cell86_embryo1_single
SRR5763692	E4.5_P1_Cell8_embryo2_double
SRR5763693	E4.5_P1_Cell90_embryo2_single
SRR5763694	E4.5_P1_Cell91_embryo2_single
SRR5763695	E4.5_P1_Cell92_embryo2_double
SRR5763696	E4.5_P2_Cell11_embryo5_double
SRR5763697	E4.5_P2_Cell13_embryo3_single
SRR5763698	E4.5_P2_Cell14_embryo3_single
SRR5763699	E4.5_P2_Cell15_embryo4_single
SRR5763700	E4.5_P2_Cell16_embryo4_single
SRR5763701	E4.5_P2_Cell19_embryo4_double
SRR5763702	E4.5_P2_Cell22_embryo5_single
SRR5763703	E4.5_P2_Cell23_embryo5_double
SRR5763704	E4.5_P2_Cell25_embryo3_single
SRR5763705	E4.5_P2_Cell26_embryo3_double
SRR5763706	E4.5_P2_Cell28_embryo4_single
SRR5763707	E4.5_P2_Cell29_embryo4_single
SRR5763708	E4.5_P2_Cell2_embryo3_single
SRR5763709	E4.5_P2_Cell30_embryo4_double
SRR5763710	E4.5_P2_Cell31_embryo4_double
SRR5763711	E4.5_P2_Cell33_embryo5_single
SRR5763712	E4.5_P2_Cell35_embryo5_double
SRR5763713	E4.5_P2_Cell37_embryo3_single
SRR5763714	E4.5_P2_Cell38_embryo3_double
SRR5763715	E4.5_P2_Cell39_embryo4_single
SRR5763716	E4.5_P2_Cell3_embryo4_single
SRR5763717	E4.5_P2_Cell40_embryo4_single
SRR5763718	E4.5_P2_Cell41_embryo4_single
SRR5763719	E4.5_P2_Cell42_embryo4_double
SRR5763720	E4.5_P2_Cell43_embryo4_double
SRR5763721	E4.5_P2_Cell44_embryo5_single
SRR5763722	E4.5_P2_Cell45_embryo5_single
SRR5763723	E4.5_P2_Cell46_embryo5_single
SRR5763724	E4.5_P2_Cell47_embryo5_double
SRR5763725	E4.5_P2_Cell49_embryo3_single
SRR5763726	E4.5_P2_Cell50_embryo3_double
SRR5763727	E4.5_P2_Cell51_embryo4_single
SRR5763728	E4.5_P2_Cell52_embryo4_single
SRR5763729	E4.5_P2_Cell53_embryo4_single
SRR5763730	E4.5_P2_Cell54_embryo4_double
SRR5763731	E4.5_P2_Cell55_embryo4_double
SRR5763732	E4.5_P2_Cell56_embryo5_single
SRR5763733	E4.5_P2_Cell57_embryo5_single
SRR5763734	E4.5_P2_Cell59_embryo5_double
SRR5763735	E4.5_P2_Cell5_embryo4_single
SRR5763736	E4.5_P2_Cell61_embryo3_single
SRR5763737	E4.5_P2_Cell62_embryo3_double
SRR5763738	E4.5_P2_Cell63_embryo4_single
SRR5763739	E4.5_P2_Cell64_embryo4_single
SRR5763740	E4.5_P2_Cell65_embryo4_single
SRR5763741	E4.5_P2_Cell66_embryo4_double
SRR5763742	E4.5_P2_Cell67_embryo4_double
SRR5763743	E4.5_P2_Cell69_embryo5_single
SRR5763744	E4.5_P2_Cell6_embryo4_single
SRR5763745	E4.5_P2_Cell71_embryo5_double
SRR5763746	E4.5_P2_Cell73_embryo3_single
SRR5763747	E4.5_P2_Cell75_embryo4_single
SRR5763748	E4.5_P2_Cell76_embryo4_single
SRR5763749	E4.5_P2_Cell77_embryo4_single
SRR5763750	E4.5_P2_Cell78_embryo4_double
SRR5763751	E4.5_P2_Cell79_embryo4_double
SRR5763752	E4.5_P2_Cell7_embryo4_double
SRR5763753	E4.5_P2_Cell80_embryo5_single
SRR5763754	E4.5_P2_Cell81_embryo5_single
SRR5763755	E4.5_P2_Cell82_embryo5_double
SRR5763756	E4.5_P2_Cell83_embryo5_double
SRR5763757	E4.5_P2_Cell85_embryo3_single
SRR5763758	E4.5_P2_Cell87_embryo4_single
SRR5763759	E4.5_P2_Cell88_embryo4_single
SRR5763760	E4.5_P2_Cell89_embryo4_single
SRR5763761	E4.5_P2_Cell8_embryo5_single
SRR5763762	E4.5_P2_Cell92_embryo5_single
SRR5763763	E4.5_P2_Cell93_embryo5_single
SRR5763764	E4.5_P2_Cell94_embryo5_double
SRR5763765	E4.5_P2_Cell95_embryo5_double
SRR5763766	E4.5_P2_Cell9_embryo5_single
SRR5763767	E5.5_P11.P6.P10_cell100_embryo8_single
SRR5763768	E5.5_P11.P6.P10_cell101_embryo8_single
SRR5763769	E5.5_P11.P6.P10_cell102_embryo8_single
SRR5763770	E5.5_P11.P6.P10_cell103_embryo8_single
SRR5763771	E5.5_P11.P6.P10_cell104_embryo8_single
SRR5763772	E5.5_P11.P6.P10_cell105_embryo8_single
SRR5763773	E5.5_P11.P6.P10_cell107_embryo8_single
SRR5763774	E5.5_P11.P6.P10_cell108_embryo8_single
SRR5763775	E5.5_P11.P6.P10_cell109_embryo8_single
SRR5763776	E5.5_P11.P6.P10_cell110_embryo8_single
SRR5763777	E5.5_P11.P6.P10_cell111_embryo8_single
SRR5763778	E5.5_P11.P6.P10_cell112_embryo8_single
SRR5763779	E5.5_P11.P6.P10_cell113_embryo8_single
SRR5763780	E5.5_P11.P6.P10_cell114_embryo8_single
SRR5763781	E5.5_P11.P6.P10_cell116_embryo8_single
SRR5763782	E5.5_P11.P6.P10_cell119_embryo8_single
SRR5763783	E5.5_P11.P6.P10_cell120_embryo8_single
SRR5763784	E5.5_P11.P6.P10_cell121_embryo8_single
SRR5763785	E5.5_P11.P6.P10_cell123_embryo8_single
SRR5763786	E5.5_P11.P6.P10_cell124_embryo8_single
SRR5763787	E5.5_P11.P6.P10_cell125_embryo8_single
SRR5763788	E5.5_P11.P6.P10_cell126_embryo8_single
SRR5763789	E5.5_P11.P6.P10_cell127_embryo8_single
SRR5763790	E5.5_P11.P6.P10_cell128_embryo8_single
SRR5763791	E5.5_P11.P6.P10_cell129_embryo8_single
SRR5763792	E5.5_P11.P6.P10_cell130_embryo8_single
SRR5763793	E5.5_P11.P6.P10_cell131_embryo8_single
SRR5763794	E5.5_P11.P6.P10_cell132_embryo8_single
SRR5763795	E5.5_P11.P6.P10_cell133_embryo8_single
SRR5763796	E5.5_P11.P6.P10_cell134_embryo8_single
SRR5763797	E5.5_P11.P6.P10_cell135_embryo8_single
SRR5763798	E5.5_P11.P6.P10_cell136_embryo8_single
SRR5763799	E5.5_P11.P6.P10_cell137_embryo8_single
SRR5763800	E5.5_P11.P6.P10_cell138_embryo8_single
SRR5763801	E5.5_P11.P6.P10_cell139_embryo8_single
SRR5763802	E5.5_P11.P6.P10_cell140_embryo8_single
SRR5763803	E5.5_P11.P6.P10_cell141_embryo8_single
SRR5763804	E5.5_P11.P6.P10_cell142_embryo8_single
SRR5763805	E5.5_P11.P6.P10_cell143_embryo8_single
SRR5763806	E5.5_P11.P6.P10_cell144_embryo8_single
SRR5763807	E5.5_P11.P6.P10_cell15_embryo7_single
SRR5763808	E5.5_P11.P6.P10_cell17_embryo7_single
SRR5763809	E5.5_P11.P6.P10_cell22_embryo7_single
SRR5763810	E5.5_P11.P6.P10_cell25_embryo7_single
SRR5763811	E5.5_P11.P6.P10_cell26_embryo7_single
SRR5763812	E5.5_P11.P6.P10_cell27_embryo7_single
SRR5763813	E5.5_P11.P6.P10_cell2_embryo7_single
SRR5763814	E5.5_P11.P6.P10_cell32_embryo7_single
SRR5763815	E5.5_P11.P6.P10_cell33_embryo7_single
SRR5763816	E5.5_P11.P6.P10_cell34_embryo7_single
SRR5763817	E5.5_P11.P6.P10_cell36_embryo7_VE
SRR5763818	E5.5_P11.P6.P10_cell37_embryo7_single
SRR5763819	E5.5_P11.P6.P10_cell40_embryo7_single
SRR5763820	E5.5_P11.P6.P10_cell44_embryo7_single
SRR5763821	E5.5_P11.P6.P10_cell46_embryo7_single
SRR5763822	E5.5_P11.P6.P10_cell49_embryo7_single
SRR5763823	E5.5_P11.P6.P10_cell52_embryo7_single
SRR5763824	E5.5_P11.P6.P10_cell53_embryo7_single
SRR5763825	E5.5_P11.P6.P10_cell54_embryo7_single
SRR5763826	E5.5_P11.P6.P10_cell55_embryo7_single
SRR5763827	E5.5_P11.P6.P10_cell56_embryo7_single
SRR5763828	E5.5_P11.P6.P10_cell57_embryo7_single
SRR5763829	E5.5_P11.P6.P10_cell58_embryo7_double
SRR5763830	E5.5_P11.P6.P10_cell5_embryo7_single
SRR5763831	E5.5_P11.P6.P10_cell60_embryo7_VE
SRR5763832	E5.5_P11.P6.P10_cell61_embryo7_single
SRR5763833	E5.5_P11.P6.P10_cell62_embryo7_single
