Gene	sgRNA	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
Rcor2_p2	12	-0.019795	-0.27618	0.72456	0.94878	0.78241	1
Zfp740_p2	12	-0.023851	-0.29199	0.65833	0.94537	0.77029	1
Zbtb2_p2	12	0.011884	0.18434	0.77785	0.96125	0.85374	1
Foxn3_p2	12	0.088959	1.2896	0.10965	0.57803	0.1972	1
Zzz3_p1	12	-0.049844	-0.6167	0.35439	0.82711	0.53743	1
Grhl2_p1	12	0.40631	3.161	0	0	0.0015722	0.10012
Esx1_p1	12	-0.039272	-0.41616	0.46118	0.89937	0.6773	1
Cic_p3	12	-0.058782	-0.8077	0.27829	0.77341	0.41926	1
Myc_p2	12	0.11895	1.2173	0.041009	0.34386	0.22348	1
Zfp715_p1	12	0.058827	0.79118	0.25526	0.75613	0.42884	1
NT	300	0	0	0.96075	0.9895	1	1
Mitf_p2	12	-0.02668	-0.33752	0.62171	0.94537	0.73572	1
Mid2_p3	12	-0.038555	-0.53817	0.46842	0.89937	0.59046	1
Tcf7_p2	12	0.17743	1.8816	0.0063596	0.11837	0.059887	0.86694
Eomes_p2	12	0.036363	0.35525	0.44759	0.89154	0.7224	1
Zfp236_p1	12	0.25105	2.3257	0.0002193	0.0090909	0.020033	0.48078
Tfdp2_p1	12	-0.0203	-0.24679	0.71513	0.94834	0.80507	1
Tcf25_p1	12	0.046109	0.65496	0.34693	0.82711	0.51249	1
Zkscan17_p1	12	0.083441	1.225	0.13136	0.63895	0.22057	1
Tfdp1_p1	12	0.03411	0.3946	0.47434	0.90438	0.69314	1
Mis18bp1_p1	12	0.11453	1.5512	0.047588	0.3678	0.12084	1
Csrnp1_p1	12	-0.10168	-1.3277	0.068421	0.4875	0.18427	1
Atf1_p1	12	-0.0077155	-0.15072	0.91667	0.98786	0.88019	1
Zfp57_p2	12	-0.0030956	-0.04389	0.98794	0.99229	0.96499	1
Mbd1_p1	12	0.0044678	0.066805	0.89189	0.98099	0.94674	1
Hif1a_p2	12	-0.078604	-1.059	0.14035	0.64646	0.28958	1
Sp3_p1	12	-0.024266	-0.34573	0.65439	0.94537	0.72955	1
Zfp414_p1	12	-0.028473	-0.5248	0.59649	0.94537	0.59973	1
Tead2_p3	12	0.069308	0.77388	0.1864	0.70824	0.439	1
Zic3_p1	12	-0.64687	-5.1095	0	0	3.2303e-07	6.5022e-05
Mbd2_p1	12	0.062948	0.695	0.22741	0.71834	0.48706	1
Zfp867_p1	12	-0.010396	-0.19538	0.87105	0.97833	0.84509	1
Irf3_p1	12	0.018214	0.23703	0.6864	0.94834	0.81264	1
Mafg_p1	12	0.038909	0.72149	0.41732	0.86895	0.47061	1
Xist_p1	12	-1.5453	-8.5494	0	0	1.237e-17	1.1281e-14
Klf11_p1	12	0.020332	0.40725	0.65088	0.94537	0.68383	1
Usf2_p1	12	-0.022122	-0.43553	0.68553	0.94834	0.66318	1
Msl2_p1	12	0.10055	1.0741	0.073684	0.5145	0.28278	1
Dmtf1_p1	12	0.011028	0.25264	0.78947	0.96405	0.80055	1
Mkrn2_p1	12	-0.038932	-0.53302	0.46469	0.89937	0.59402	1
Thap4_p1	12	0.065174	1.0486	0.21184	0.70824	0.29437	1
Csrnp1_p2	12	-0.088006	-0.8772	0.10373	0.56667	0.38038	1
Kansl1_p4	12	0.0043304	0.04299	0.89364	0.98099	0.96571	1
Gli3_p2	12	0.067195	0.81253	0.1989	0.70824	0.41649	1
Prdm5_p1	12	0.063963	1.0455	0.21908	0.71103	0.29578	1
Bcor_p2	12	0.06839	0.81261	0.19101	0.70824	0.41644	1
Zfp738_p2	11	-0.026406	-0.28987	0.63311	0.94537	0.77192	1
Foxa2_p2	12	0.0072721	0.073144	0.84671	0.97676	0.94169	1
Zfp1_p1	12	-0.0073874	-0.082315	0.92127	0.98786	0.9344	1
Foxn2_p1	12	0.075908	1.2575	0.1568	0.68421	0.20857	1
Zbtb12_p1	12	-0.00097962	-0.013506	0.97675	0.99116	0.98922	1
Stag2_p2	12	0.16055	1.9272	0.010526	0.15738	0.053958	0.83407
E2f6_p1	12	0.064722	0.61196	0.21513	0.70824	0.54056	1
Zfp335_p1	12	-0.016671	-0.29266	0.77193	0.96044	0.76978	1
