Gene	sgRNA	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr
Rcor2_p2	12	0.02792	0.50648	0.43662	0.87056	0.61252	1
Zfp740_p2	12	-0.058344	-0.69611	0.28048	0.80961	0.48636	1
Zbtb2_p2	12	0.0054307	0.081877	0.78772	0.97296	0.93474	1
Foxn3_p2	12	0.00076316	0.013123	0.86513	0.98271	0.98953	1
Zzz3_p1	12	0.0046284	0.060656	0.80088	0.97298	0.95163	1
Grhl2_p1	12	0.22868	2.3228	0	0	0.020192	0.77862
Esx1_p1	12	-0.084527	-0.90224	0.11118	0.60343	0.36693	1
Cic_p3	12	-0.056029	-0.73361	0.29386	0.80961	0.46319	1
Myc_p2	12	0.031881	0.37246	0.38531	0.8662	0.70955	1
Zfp715_p1	12	0.024706	0.33187	0.48202	0.8938	0.73999	1
NT	300	0	0	0.87982	0.98271	1	1
Mitf_p2	12	-0.048297	-0.57095	0.37566	0.8662	0.56804	1
Mid2_p3	12	0.014579	0.18266	0.6307	0.93485	0.85507	1
Tcf7_p2	12	0.10596	1.3901	0.01557	0.26071	0.1645	1
Eomes_p2	12	0.049927	0.62179	0.20614	0.70149	0.53408	1
Zfp236_p1	12	0.18979	1.9068	0.0002193	0.0086957	0.056549	1
Tfdp2_p1	12	-0.0078505	-0.10902	0.98333	0.99208	0.91319	1
Tcf25_p1	12	0.03256	0.50021	0.37807	0.8662	0.61693	1
Zkscan17_p1	12	0.065863	1.0157	0.11096	0.60343	0.30978	1
Tfdp1_p1	12	0.097611	1.0577	0.023684	0.29589	0.2902	1
Mis18bp1_p1	12	0.06163	0.77266	0.13202	0.61792	0.43972	1
Csrnp1_p1	12	-0.10688	-1.3996	0.053509	0.44132	0.16163	1
Atf1_p1	12	0.060475	1.0889	0.13816	0.61792	0.27622	1
Zfp57_p2	12	-0.029038	-0.40883	0.6364	0.93916	0.68266	1
Mbd1_p1	12	-0.014261	-0.20651	0.87061	0.98271	0.83639	1
Hif1a_p2	12	0.025546	0.33418	0.46996	0.89027	0.73825	1
Sp3_p1	12	-0.027852	-0.42527	0.65504	0.94684	0.67064	1
Zfp414_p1	12	-0.021707	-0.47553	0.75022	0.9701	0.63441	1
Tead2_p3	12	0.052515	0.58491	0.19013	0.69769	0.55861	1
Zic3_p1	12	-0.42521	-4.1201	0	0	3.7875e-05	0.0049346
Mbd2_p1	12	0.035516	0.41128	0.34518	0.85247	0.68086	1
Zfp867_p1	12	-0.070208	-1.3506	0.18947	0.69769	0.17682	1
Irf3_p1	12	-0.012712	-0.18206	0.89649	0.98271	0.85553	1
Mafg_p1	12	0.015588	0.30366	0.61601	0.93485	0.76139	1
Xist_p1	12	-1.5946	-9.5495	0	0	1.3038e-21	1.1891e-18
Klf11_p1	12	0.0082351	0.16218	0.74167	0.9701	0.87117	1
Usf2_p1	12	0.058144	1.0617	0.15395	0.63909	0.28838	1
Msl2_p1	12	0.040933	0.49359	0.28904	0.80961	0.62159	1
Dmtf1_p1	12	-0.010152	-0.2447	0.94496	0.99208	0.80669	1
Mkrn2_p1	12	0.0031136	0.039947	0.82873	0.97727	0.96814	1
Thap4_p1	12	-0.0078214	-0.14053	0.98355	0.99208	0.88824	1
Csrnp1_p2	12	-0.018293	-0.18849	0.80285	0.97298	0.85049	1
Kansl1_p4	12	0.025781	0.26727	0.46579	0.89027	0.78926	1
Gli3_p2	12	0.02601	0.35416	0.46228	0.88571	0.72322	1
Prdm5_p1	12	0.030944	0.50545	0.39671	0.8662	0.61324	1
Bcor_p2	12	0.044291	0.57153	0.2557	0.78456	0.56764	1
Zfp738_p2	11	-0.024701	-0.26566	0.71162	0.9583	0.7905	1
Foxa2_p2	12	-0.054059	-0.6441	0.31338	0.82989	0.51951	1
Zfp1_p1	12	0.014485	0.16573	0.63158	0.93485	0.86837	1
Foxn2_p1	12	0.023341	0.37002	0.49803	0.8938	0.71137	1
Zbtb12_p1	12	-0.019423	-0.28333	0.78289	0.97296	0.77693	1
Stag2_p2	12	0.018951	0.27889	0.56601	0.921	0.78033	1
E2f6_p1	12	-0.026405	-0.23511	0.67346	0.95046	0.81413	1
Zfp335_p1	12	-0.0334	-0.56052	0.57281	0.92297	0.57513	1
Foxm1_p1	12	0.14204	1.382	0.0019737	0.069231	0.16697	1
Crxos_p4	12	0.024431	0.24458	0.48596	0.8938	0.80678	1
Ddit3_p1	12	0.032491	0.47005	0.37851	0.8662	0.63832	1
Crebzf_p3	12	0.035705	0.40685	0.34342	0.85247	0.68412	1
Zfp148_p1	12	-0.0094962	-0.13258	0.95351	0.99208	0.89453	1
Hmgb3_p2	12	-0.1437	-1.4657	0.013377	0.244	0.14274	1
Zfp397_p1	12	-0.075128	-0.83201	0.15658	0.64615	0.4054	1
Zfp180_p1	12	-0.033608	-0.38324	0.56754	0.921	0.70154	1
Klf5_p1	12	-0.024965	-0.45342	0.70088	0.95774	0.65025	1
Sox11_p1	12	0.044542	0.72131	0.25329	0.78456	0.47072	1
Zfp143_p1	12	-0.0069214	-0.078708	0.99934	0.99934	0.93727	1
Tada2a_p1	12	0.064803	0.63459	0.11579	0.60343	0.5257	1
Ahr_p1	12	0.039686	0.52676	0.3011	0.81484	0.59836	1
Zfp119b_p1	6	0.0091632	0.14319	0.81557	0.97429	0.88614	1
Erf_p1	12	0.021114	0.22401	0.5307	0.89575	0.82275	1
Hnrnpk_p4	12	-0.11995	-1.1065	0.032018	0.35238	0.26851	1
Tead1_p1	12	-0.017185	-0.21889	0.82061	0.97429	0.82674	1
