gene	cluster
Pou5f1	form2
Zic3	form2
Nfrkb	form2
Otx2	form1
Nfe2l2	form1
Zfp518b	form2
Adnp	prime1
Tox4	form1
Rbpj	form2
Foxd3	form1
Arnt	prime2
Zfp207	form1
Sp1	form2
Ssrp1	form2
Zfp217	prime1
Smarcc1	form1
Atf5	prime2
Pias1	prime1
Arid1a	prime2
Hmg20b	naive
Epas1	form1
Esrrb	naive
Myrf	prime2
Mbd3	prime2
E2f4	form1
Srebf2	prime1
E2f8	form2
Pou2f1	form2
Zscan10	form1
Usf1	prime2
Etv5	form2
Sall4	form2
Zfp574	form1
Gmeb2	prime2
Smarce1	prime1
Tfam	form2
Nrf1	prime2
Zfp985	prime2
Zfp292	naive
Ahctf1	prime2
Sox2	naive
Zfp473	form2
Smarcal1	prime1
Ttf1	form2
Arid4a	form1
Cnbp	form1
Csrnp1	prime1
Hmgb1	form1
Snapc4	form2
Zfp710	naive
Cdx4	prime1
Hmgb3	prime1
Sall2	prime1
Myef2	prime2
Elf3	naive
Litaf	prime1
Sub1	form1
Capn15	form2
Zfp771	prime2
Zfp397	prime1
Zfp866	prime2
E4f1	form2
Zfp296	form2
Tfeb	naive
Mllt10	form1
Zmiz2	form1
Gm20422	prime2
Stat3	naive
Zfp84	form2
Zfp871	prime1
Zfp869	form1
Klf6	prime1
Rcor2	form2
Cpeb1	prime1
Hif1a	prime2
Adnp2	prime1
Gm14403	form1
Thap11	naive
Nr0b1	form2
Mitf	naive
Nfe2l1	form2
Klf8	naive
Klf13	prime1
Zic5	prime2
Tet2	form2
Zfp266	prime1
Gata2	naive
Aire	prime2
Mga	form1
Rhox9	prime1
Mier3	naive
Lin28b	prime1
Zfp141	form1
Zfp592	prime2
Cdc5l	naive
T	naive
Foxk2	prime1
Zkscan5	form1
Jarid2	form2
Lyar	form1
Cenps	form1
Zfp110	prime2
Zfp511	form1
Zbtb21	form1
Zfp763	naive
Myb	prime1
Gzf1	prime1
Zbtb17	naive
Cic	naive
Aebp2	form2
Hmgb2	form1
Hmgxb3	form2
Prdm4	form1
Irf3	form2
Zfp65	prime2
Nr1h2	form1
Gata1	form2
Zfp977	form1
Zfp777	form2
Maff	prime1
Zfp369	prime2
Zfp956	prime1
Cdx1	naive
Zfp825	prime2
Elf2	prime1
Hmgxb4	form1
Mysm1	prime2
Gatad1	prime1
Zfp646	prime1
Zfp934	form2
Tfdp2	prime1
Zfp275	prime1
Zfp644	prime1
Yy1	prime2
Xbp1	form2
Nr2c2	naive
Zic2	prime1
Phb	form1
Hopx	form2
Tfe3	prime2
Zfp180	form1
Zfp770	prime2
Klf10	naive
Thap1	form1
Zfp51	prime1
Nfatc3	form1
Ncoa1	prime2
Thyn1	prime1
Pitx2	prime1
Arid3b	prime1
Zfp971	naive
Zfp605	prime2
Zfp472	naive
Pou3f1	prime1
Zfp423	form2
Mkrn2	naive
Hes6	prime1
Zscan12	form2
Zfp706	form2
Zbed4	form1
Tada2b	naive
Tax1bp1	form2
Bbx	form2
Wdhd1	form1
Jund	prime1
Yy2	form2
Plagl1	naive
Mbtps2	prime1
Rarg	form1
Zbtb24	form2
Hsf2	prime1
Usf2	form2
Zfp184	form1
Gm2381	form1
Zfp414	form1
Atf2	prime2
Zfp740	form2
Rela	form2
Gm14326	naive
Zfp7	prime1
Pbrm1	prime2
Zgpat	form1
Nanog	naive
Atf3	prime1
Zbtb41	prime1
Nfkb2	prime1
Mier2	prime1
Zfp334	prime1
Zfp62	prime2
Sp3	prime2
Zfp512	prime2
Pura	form2
Crebzf	prime1
Smad4	prime1
Nfil3	prime1
Srf	prime1
Zfp639	prime2
Zbtb2	form2
Zfp719	prime2
Olig2	prime1
Cenpt	form1
Mael	prime1
Mbd1	form2
5730507C01Rik	naive
Baz2a	naive
Olig1	prime1
Tfcp2l1	naive
E2f2	form2
Sall1	form2
Aff1	naive
4930522L14Rik	form2
Cdip1	form1
Zbtb33	prime1
Nfyc	form1
Zfp91	form2
Zfp91	form1
Zfp692	form1
Trp73	prime2
Lrrfip2	form1
Gm44973	form1
Gm15446	prime1
Ctcf	form2
Gm14401	form2
Zfp335	prime2
Sohlh2	form1
Zfp729b	prime2
Tgif2	prime1
Nfyb	form1
Zfp553	naive
Klf9	form2
Khsrp	prime2
Zfp493	form1
Dmrt1	prime1
Repin1	prime2
Zfp953	form2
Rara	prime2
5430403G16Rik	form2
Zfp867	prime1
Crebrf	prime1
Zscan26	prime1
Sox13	naive
Cenpa	prime1
Klf15	naive
Rcor1	prime1
Atf1	form1
E2f1	naive
Zfp1	form1
Zfp809	prime2
Zfp599	prime2
2610044O15Rik8	prime2
Zfp819	form2
Mybl2	form2
Nsd2	prime1
Dnajc2	form1
Zbtb6	prime2
Zfp260	prime1
Znfx1	form2
Thap7	form2
Ets2	prime1
Gm45871	form2
Zbtb12	prime2
Zfp981	prime2
Zfp655	prime1
Zfp623	form2
Zscan22	form1
Smad3	prime1
Nfx1	prime2
Zfp146	prime1
Vezf1	prime1
Zfp930	prime2
Zfp760	prime1
2610021A01Rik	prime2
Zfp951	form1
Gm6871	prime2
Zfp119b	prime2
Zfp408	form1
Zfp975	form2
Id3	prime2
Zfp512b	form1
Zfp105	prime2
Zfp652	form1
Gm14322	form2
Yeats4	prime1
Zfp936	form1
Mta2	naive
Rhox6	prime1
Zbtb43	form2
Hmga2	naive
Zfp52	form1
Mta1	prime1
Cebpz	form2
Zfp729a	prime2
Irf1	prime1
Gpbp1	prime2
Elmsan1	form2
Max	form1
Pias3	prime2
Dmtf1	prime2
Zfp850	prime2
Zfp932	prime1
Tmf1	prime1
Zfp459	form2
Tfap2c	naive
Rbak	form2
Nfxl1	prime1
Zfp317	prime2
Ddit3	prime1
Ddit3	form2
Zkscan6	form1
Tcf3	prime1
Spic	naive
Carhsp1	prime1
Zfp758	naive
Peg3	prime1
Glis2	form2
Rest	form1
Hinfp	prime1
Zbtb32	form2
Mbd4	naive
Etv6	naive
Zfp263	form1
Lcor	form2
Nr1d2	prime2
Zfp617	prime2
Zfp566	form1
Klf11	prime1
Zfp58	form1
Sp5	naive
Zfp507	form1
Zfp26	naive
Aff4	form2
Zscan25	prime1
Mycl	prime1
Atf6b	form2
Zfp219	prime2
Maz	form1
Zfp24	prime2
Zfp874b	prime1
Creb3	prime2
Lef1	prime2
Zfp449	prime2
Zfp386	prime2
Zfp946	prime1
Parp12	prime1
Irf6	prime1
Zfp938	prime1
Zfp35	prime2
Zfp212	form2
Zfp944	naive
Zfp37	prime1
Id1	prime2
Zfp948	prime2
Mta3	prime2
Relb	naive
Maf1	prime1
Gtf2i	prime1
Mynn	prime2
Atf4	prime2
Zfp868	naive
Zfp941	prime2
Setdb2	prime2
Zfp358	prime1
Zfp12	form2
Blzf1	prime2
Sox11	prime1
Prdm14	naive
Arid4b	prime1
Mafk	prime1
Bach1	prime1
Rxra	prime1
Zfp609	prime1
Eomes	form2
Purb	form1
Cc2d1a	form1
Plscr1	naive
Lrrfip1	prime1
Zfp808	form1
Zfp942	prime1
Zfp367	prime1
Mafg	prime2
Tcf15	form2
Zfp622	form2
Tgif1	prime1
Hmga1b	prime2
Zfp738	prime2
Arid3a	prime1
Arid2	prime1
Zfp976	naive
Zfp131	form1
Zfp27	form1
Zfp87	prime1
E2f5	prime1
Mier1	prime1
Zbtb8a	form1
Etv4	form1
Terf2	naive
Nr6a1	prime1
Jdp2	prime1
Zfp64	naive
Lin28a	prime1
Patz1	naive
Preb	form1
Nr5a2	naive
Sox12	prime1
Tcf25	form1
Zfp954	prime1
Zfp59	naive
Foxo4	prime1
Smad2	form1
Platr25	form2
Srebf1	naive
Tfap4	form1
Zfp516	prime1
Foxa2	prime1
Zfp637	form1
Terf1	form2
Gm35315	form1
Zfp790	prime2
Rfx2	naive
Sox4	prime1
Csrnp2	naive
Zfp239	form1
Rex2	prime2
Gm20939	form1
Gtf3a	form1
Fiz1	form2
Jun	prime1
