sgRNA	Gene	noRE_High_R1	RE57M_High_R1	RE97_High_R1	RE93_High_R1	RE95_High_R1	RE96_High_R1	RE58_High_R1	RE61_High_R1	RE85_High_R1	RE127_High_R1	RE57L_High_R1	RE57R_High_R1	noRE_Low_R1	RE57M_Low_R1	RE97_Low_R1	RE93_Low_R1	RE95_Low_R1	RE96_Low_R1	RE58_Low_R1	RE61_Low_R1	RE85_Low_R1	RE127_Low_R1	RE57L_Low_R1	RE57R_Low_R1	noRE_Unsorted_R1	RE57M_Unsorted_R1	RE97_Unsorted_R1	RE93_Unsorted_R1	RE95_Unsorted_R1	RE96_Unsorted_R1	RE58_Unsorted_R1	RE61_Unsorted_R1	RE85_Unsorted_R1	RE127_Unsorted_R1	RE57L_Unsorted_R1	RE57R_Unsorted_R1	noRE_High_R2	RE57M_High_R2	RE97_High_R2	RE93_High_R2	RE95_High_R2	RE96_High_R2	RE58_High_R2	RE61_High_R2	RE85_High_R2	RE127_High_R2	RE57L_High_R2	RE57R_High_R2	noRE_Low_R2	RE57M_Low_R2	RE97_Low_R2	RE93_Low_R2	RE95_Low_R2	RE96_Low_R2	RE58_Low_R2	RE61_Low_R2	RE85_Low_R2	RE127_Low_R2	RE57L_Low_R2	RE57R_Low_R2	noRE_Unsorted_R2	RE57M_Unsorted_R2	RE97_Unsorted_R2	RE93_Unsorted_R2	RE95_Unsorted_R2	RE96_Unsorted_R2	RE58_Unsorted_R2	RE61_Unsorted_R2	RE85_Unsorted_R2	RE127_Unsorted_R2	RE57L_Unsorted_R2	RE57R_Unsorted_R2	noRE_High_R3	RE57M_High_R3	RE97_High_R3	RE93_High_R3	RE95_High_R3	RE96_High_R3	RE58_High_R3	RE61_High_R3	RE85_High_R3	RE127_High_R3	RE57L_High_R3	RE57R_High_R3	noRE_Low_R3	RE57M_Low_R3	RE97_Low_R3	RE93_Low_R3	RE95_Low_R3	RE96_Low_R3	RE58_Low_R3	RE61_Low_R3	RE85_Low_R3	RE127_Low_R3	RE57L_Low_R3	RE57R_Low_R3	noRE_Unsorted_R3	RE57M_Unsorted_R3	RE97_Unsorted_R3	RE93_Unsorted_R3	RE95_Unsorted_R3	RE96_Unsorted_R3	RE58_Unsorted_R3	RE61_Unsorted_R3	RE85_Unsorted_R3	RE127_Unsorted_R3	RE57L_Unsorted_R3	RE57R_Unsorted_R3
BRDN0000737751	NT	733.9348669872924	910.6508283994732	609.2935890981776	572.2525463094514	499.2026126324652	633.8322860530424	684.3156496969041	533.7424342292932	1125.9974908320821	660.019675141918	737.7900327328954	1286.0257797093154	682.9484708577695	832.6824417707037	517.1973300692032	605.4788814478455	746.5558582845179	558.5985858856302	1219.5792608815293	736.029772596374	651.3223940788939	493.4594637113251	998.2415920172622	1172.8203956365676	627.8035172813654	814.8507689629804	574.2728140466569	598.7047409889383	649.5905071415086	503.6586370153842	1075.487131911008	654.9136359222456	906.5199051373755	906.1802062184436	846.7203778471758	881.1639251413391	538.2716974641476	683.071219847934	579.7774800156186	451.0488818063937	499.94231292997233	666.1119515918682	557.3938354250104	668.6023545416916	580.0755947517519	527.7736524082692	1003.9573344700888	701.7604006684131	631.6778004460152	656.0553544849059	444.5948518246657	754.2800517410924	803.0728333352565	655.2424757746059	872.1968472956555	660.7700106659764	691.0052033788445	729.3591061381469	1173.9406513236554	1141.979148346285	605.5578733512635	722.2009747447636	563.653223280736	520.804678897938	640.2263970904373	672.549708823535	815.5461672370587	585.7774549082254	425.455555865501	847.5442726960968	746.2893360039369	1029.5343171339714	700.4600834430306	725.9178793741777	344.1082763892788	504.86052840572756	596.0084285460156	356.5364730447926	1134.6863834942942	852.6541290318288	465.6461411766822	583.3079338058775	1455.4266497542935	792.8320749942548	601.7224504388383	841.6151616512489	562.2596705512929	611.0102468932181	750.2396827727019	485.15463071293533	827.7354898338576	509.8338619048375	566.5966696549526	500.543651975875	1464.4677635279304	1127.9598396344932	666.1205322031859	659.076154313341	364.80221280512	570.3574208967873	593.5627489203102	340.2601017467646	1008.2323010131408	663.4549988578559	493.2598000429056	668.2863856119048	602.213529011651	768.7247586072216
Klf4_p2_6	Klf4_p2	1188.5363144495705	1149.304148945542	1081.5598542882922	1017.3378601056914	1024.8403597788522	848.0854531695637	1194.181373916888	1016.6522556748442	1157.1634928104702	702.0835014835235	1162.7362353317008	988.6690677451759	981.7384268580436	1251.9556430848256	1252.8897888842196	843.0206796786364	920.8224232296345	1053.4125581580222	1135.6227175599747	861.2930554912969	885.4754861651079	989.3437896521899	1787.6460308928379	1406.8525834279917	982.4574340613649	1128.8537722894791	1032.210435560842	970.5874215151069	1235.6957291173549	921.8254020650575	1312.2386616202768	1056.33102835643	1173.9051880812567	1030.7992159021344	1143.879609240682	1438.4672285422978	1526.5048920272309	1007.7177062042323	741.9717982270978	1185.8598850958392	957.0105530818767	1016.9648115906385	1041.8535052313637	1307.0421968484197	608.914580286285	845.1846933613556	1358.3165525977176	1058.254684207967	797.7856664892267	1095.752028235428	1116.9575360158826	995.0574649518337	1021.2797056446135	1113.7093473692216	1286.9178972352563	931.2179132615641	746.8440076922865	940.4076985525894	1260.0830540658349	1403.8730330336998	1117.2969212537396	1065.5223209731741	939.0529142280238	1052.9987245312184	1045.28872923018	1079.8159213888978	1180.9532161939228	1093.7636638046386	1020.9351721605238	784.0474705071383	1271.7261922331627	1162.6751187095554	745.9733376762545	893.2974405331358	663.5806253696254	919.5082738668251	837.2705613222734	1254.5129498201386	711.7371503681645	889.3780506577165	670.7521795521255	1116.41725024464	2056.6823286240046	1143.7161252639153	1255.2251710934818	1206.8846861242528	1043.6794313881294	828.0796767105456	1181.3297862071752	845.0140715120194	1655.4709796677153	1006.8761932242489	844.7063902914495	804.9393037465696	1801.1481664495527	1330.0373353344837	1132.19867547848	954.1848801252847	943.738680651435	912.871667085791	1069.0991477662928	948.497071190463	1411.9814351292628	1046.148717875595	867.7161726364528	938.4447117103344	1591.7221808096938	1168.9749310140023
Yy1_p1_5	Yy1_p1	199.91509436594157	71.17730612777491	107.70984995564017	70.161231731427	177.0004658758242	46.867880306739046	62.363741474841014	92.58797328467331	84.44981181240617	167.4905085238471	45.62305856122145	53.75940555283879	272.52270712112914	322.51784716470917	334.65709592713154	255.73648915910672	285.88140412446626	394.30488415456244	272.4905353418876	500.1892468700711	237.51736065067104	133.36742262468246	222.7596300177991	346.6158538880559	253.32422627142816	142.72863787568127	169.21482550177734	145.71998651823276	127.53740323458938	135.67188377167176	177.56364728195166	303.96345901085624	228.53442986656523	187.69776767173192	102.72170961750832	131.1060131157123	65.18133836479912	146.3724042531287	46.59726269059068	229.8238669862734	86.51375399860164	66.1027127533915	107.41213482020423	125.67713431234806	120.29976822976673	174.88725981924958	113.16282093737995	120.2349486478548	262.0293098146434	123.88279300113916	384.9176905059186	341.29613911425463	271.864299926412	328.6355451253441	337.22807024727854	499.96314966319454	246.62138571770208	174.83927508843522	386.6391564939684	296.4070322818802	208.96011122684445	167.98223011890087	114.05949311967743	179.12367683766055	323.2210936767257	203.6331062826814	195.2809410186139	213.69161555052062	122.5754854259343	274.41661467749844	190.1251782408383	181.91515462802568	140.98008018583977	114.61861253276489	39.735366788600324	60.00391526133647	217.8722671211089	145.09176570557315	113.69603041024992	47.08195080242014	88.6945030812728	128.50846045981467	141.1981078119837	316.6927438758007	323.1803072089903	356.72520811106233	369.20913988990475	263.6991591854941	360.82956171449	305.9533707198691	357.84198032118735	546.9902126529797	225.53176350123877	201.03135290738393	723.6482248588601	449.2943800498493	142.2981941858199	303.30619041783103	160.98768089844052	141.65250006503655	161.25693178759872	227.42773640068722	75.2752622928363	193.13514791549443	163.91865306303876	246.46022731786562	130.38751637316477	150.93403448011426
gRNA_2083	RE51	662.7322306377789	494.05424253396706	693.4219926138255	440.7002368130258	444.03363625558495	499.9240566052165	683.4728964337305	421.18450592243545	702.7430768675227	370.16167180612786	477.0868409544871	472.91477072262876	384.15851485749533	935.3017567776566	492.3054799589207	435.6617661168972	613.881615486423	715.1608192999417	593.5874905015173	483.7754373872881	592.7841210573405	575.9047795156742	313.25572971253	503.52379797548787	508.8512719017383	599.4602790778614	619.7492984002596	534.7461948700759	464.2361477739054	691.3690515487931	578.8863622769318	577.7626052954444	411.36197375981743	441.55130591628745	481.3245822077533	608.2661423550288	935.6675991076003	776.89968411276	485.686853428849	430.72432214094096	547.4100363628335	388.98904043341923	602.4804105347257	813.1310590008919	290.8617683911483	539.5987696202469	630.7376461862299	579.186250684997	683.1478434453202	387.3518316373647	467.47109699685205	427.78899628704517	496.77835068790085	687.7003073919237	410.4455751979555	616.1826537515688	348.99252695901237	611.4201868477231	250.4139614598241	392.84082703112205	703.6411908659047	665.7981821500962	522.6803956552209	421.4065692076754	552.1693683644063	609.0311252124233	504.4206001904535	656.0707494972124	295.7627841890286	425.70464771901663	485.87545550436454	535.1996578186842	784.826115680226	602.2025515610346	686.6271381070136	655.4910467169447	622.4303138231282	655.5670633404251	568.4801520512495	423.2667377137571	959.0093145662621	650.5740810778118	916.2360732195207	243.40147818995268	449.9526929097545	484.8899535401865	509.17077461941113	582.8716171020831	475.9457035155924	1107.259817843336	743.3956291520964	676.7328800194438	656.5326489652625	513.565925848418	277.80732700090135	635.100700771399	703.2418002516607	521.358748934434	545.3973676591398	468.42757958014727	620.3245375999543	641.7340779058151	508.67828761522713	523.9685031411099	562.4364793172156	633.924142380087	374.03537535861255	493.7437241292806
Ubp1_p2_7	Ubp1_p2	1010.5297235757868	782.950367405524	311.02015845178937	439.60396756722224	748.6123600029448	868.1716875867376	567.1729461157838	641.7617363947454	507.70422577696564	583.5399908844536	308.9332822574138	480.4746871284967	643.547597539052	653.8316356157286	389.972318394426	609.5221460985824	602.2989434961131	672.637743557783	341.71786053685366	443.1728560351407	528.1901646197642	535.8945527282696	547.1533412312191	341.2969405291599	711.5106529188809	596.8652129346672	432.5553976889184	470.78764875121357	654.1251703676273	641.1890397428323	316.1499085751822	522.6547262763005	471.54270695801296	570.785834477152	342.6502742241171	477.57111987604287	643.4028883751139	726.2323134097539	543.0373305864991	827.8349494505562	305.477768543735	612.7212989833597	391.19234286370676	503.9653085925157	535.5811599270436	919.8696441738465	297.41510630978064	485.15035699542966	643.3755374913119	579.2829193856085	721.0990326015271	663.8911199208789	516.8998860442965	563.9548243508991	557.4150194420151	702.4336064712427	602.5937632158947	523.4832733417054	376.1217701126558	254.78823665326004	648.2027940098031	568.9325166070803	521.5730219356124	847.990123295052	516.9465568739939	683.7588706372605	464.04047340355373	420.8225236060691	576.5001862935878	712.8206228343067	575.7528124909426	271.5545061838644	921.3658783798977	378.4233556637317	533.2486223030163	480.0313220906918	659.2476949469736	671.4917693325002	160.31140287845238	641.2561699289623	559.8840507005345	640.5343576043888	514.3645356007978	399.8013153579056	476.73559129723986	544.7001680737778	680.5031205813931	576.4399302926809	557.7178594156859	499.7238388424529	430.1332894769828	582.3192018889183	592.1938329971177	731.6890132135148	613.8744687150161	458.2172824573813	614.5632154691932	459.05801792969027	585.6442878837499	322.2781747511413	633.362332084909	523.6126954341404	358.12776302955456	504.2973306682355	511.3058902883778	721.6071078681738	175.69165341807798	337.3100689596076
gRNA_2556	RE58	1010.5297235757868	441.7179880282502	651.9951272462715	620.4883931248074	549.0079385282598	379.4066501021732	154.22384716075547	425.72313206384104	417.2222845493876	854.2780731558777	354.55634081863525	381.35578314045017	696.082095297342	864.9342264871746	701.1204447729573	509.451345992845	479.62791741692223	347.9160742540257	1084.070454116915	612.4942591206915	617.679708434323	672.8992686972615	456.6572415364882	311.1564314954159	623.3978785636015	472.30203806134534	694.8383772166733	523.5369651379042	468.7708110000241	407.0156513150153	430.1948527644032	449.5642762088046	796.0615973685356	666.1732246054092	413.08801796183707	583.1957135147202	410.01164455276864	489.7845834623922	293.9211954329566	507.3322778030321	555.0661207874884	528.821702027132	286.87438476671826	394.6262017407729	416.10536271254927	578.1859942067006	363.06405050742734	471.1151489820614	507.68178776587155	362.9242386512246	875.2650326749571	356.8804377039466	435.96659938857186	699.871994248418	1847.5395227335055	569.402476005305	423.44426604360166	819.365123491365	372.61597465221826	309.6032357738817	513.8712939354032	496.5898043660938	757.4436242122268	604.6718339490969	534.5579626192001	465.18021526961167	620.9271955100334	496.73928176217515	487.13870337016476	713.9249150462887	440.9367770110755	396.7859532104038	697.1298453284045	500.3193404207991	344.90298372505083	517.2751315632455	509.8124421501892	518.4376506308895	156.90052196614488	564.9834096290417	521.0802056024777	435.7239987465591	404.97479273546975	253.55731177228728	614.2211363529982	474.2095580877595	528.4758276855499	472.7289804910688	642.6656330206373	562.3714337993785	1243.4105174796814	765.664473613358	590.118387320726	541.2382578275722	411.49827023753824	522.7771057589367	402.1470705251432	424.62866658496347	388.5375760145055	553.8687700955661	461.1262049415589	449.5664556757771	602.2020983426904	638.4189611651066	488.74827748153757	458.5582114039134	317.1289593143923	284.7581379260455
Prdm14_p1_12	Prdm14_p1	1007.7911606392671	508.70839379556776	738.6728763229997	906.6146662795331	636.3588177916537	794.5221613904333	289.90712253169335	629.961308427091	559.9826807084552	474.93883923885414	763.8603519107362	438.4751515403414	709.2157197369145	501.36865331968426	956.9533486841942	806.6312978220046	664.4241841714115	637.8461361323805	894.0635402839231	471.68105145260586	484.45467328182195	721.3965132880551	1024.6942980818758	716.2803323313278	641.0204334346573	651.3616019417454	828.0950522993229	885.5291488415684	692.6698077896366	596.5845848042005	564.4502933922204	625.329406133021	1053.543721684866	618.4795295412806	700.7088048908604	741.0161180176466	790.5865556504667	788.1590998245392	594.1150993050312	611.3002176301558	709.7190261655197	460.17657724476396	555.183709194142	516.5330220237505	734.9821456229583	508.48004011504236	663.3807676104741	787.8430098170719	528.7377144474053	685.7174316823618	971.7431101402648	921.0320466507967	925.5906263941987	890.5617550001608	786.1529181200424	655.6534287249788	881.7877847831046	613.4892906949235	677.620179710284	864.8588750142532	579.9709209561397	808.0313113018663	781.8058460436142	528.0524577295196	803.9088740164715	685.6270642728814	611.659625427794	470.49645178228667	865.9364938154714	404.1709495853699	862.6689905634804	790.9354549044594	1182.2345306922784	902.3941558135141	936.1652415394236	422.0965073556083	615.9331289189201	710.4188284242393	837.9397441235419	855.479046079974	681.8389924372847	595.3556019739851	506.6063978089306	806.3731864373676	678.500092482963	818.1182916559094	383.68792968950885	690.6023711595716	820.1032722795779	737.2019313535894	1066.2968100479825	763.2279915970864	482.1952121483541	589.2578927325748	2208.9668694420457	897.0141302630752	614.5632154691932	624.6468029686142	571.1966754954284	466.9286113254908	617.5797387610164	604.7109580266334	1163.3449627074701	747.5045539692285	518.8250945573245	623.2599979288332	969.6190306563738	370.91886206246704
Zfx_p1_2	Zfx_p1	996.836908893188	1021.603687951593	1047.143689213709	966.9094747987283	751.2941852434875	1006.5435246828242	958.2104602283003	647.2080877644321	902.3060250194587	861.1612447390495	1247.4647726596836	882.8302380630246	765.0336236050975	1026.193150069529	755.0527866785694	652.9872410940037	822.8961964024693	751.8852938045333	761.5005771446264	694.5633065346065	945.3594666124442	994.1935141112692	847.8788417552479	1187.8906501534398	826.057259580744	869.3471579700587	1108.3571070366418	719.3688022234929	822.4745426372854	838.1920490551228	814.1942850977296	730.3244177379161	1387.2039892900511	946.1813698206159	951.6432669564879	1219.8202098038687	746.4314554678609	1030.2365376277905	852.1922465144565	884.1183454471947	798.5296054915178	900.0138582577151	1256.677774871772	1308.2989681915433	867.6414790818106	982.7294777743597	753.6934035508831	884.2181048422005	811.8229509435826	1186.483087898234	1372.5747103311826	975.5770917147187	628.6861935798278	937.2198879500554	1037.3370591917078	912.9444063294299	553.7348094416329	1036.6210274474088	454.2509260881209	1252.6242391638361	889.1465957305523	956.3951787791436	1076.3672554594802	838.6715505115899	759.3623771315381	904.2057196405303	1091.5873618294722	847.2685107792572	839.0489679801052	899.9981527652362	639.1278719045554	1273.4060823961797	959.1085770123273	867.826637748077	724.7730902240698	919.5082738668251	1081.5647137204949	610.4470630295457	748.1198800994445	871.4869093527968	720.6428375353415	1017.023987857752	2021.7707085606019	2300.6348341848657	803.4869516245616	914.2418507277525	748.070806312879	726.7806094624594	826.8514599024012	827.5310217565984	703.6354091164088	702.3159411902958	861.3099557025837	859.4700755878439	2082.6350606954993	673.9415700747738	892.9727258327539	1086.9838067406595	786.3629028500748	847.6665480082345	970.2863895645302	717.5433233727108	782.4065141346318	605.3356256425451	923.3582842266587	946.7390462835318	1894.4864137439918	686.8415172293459
gRNA_2025	RE50	298.5033600806525	573.6053493826566	237.72647357073245	231.31281086454837	278.52670712494415	439.66535335369485	358.17013684874905	184.26822134106553	870.6373455898064	377.0448433892997	381.9301759553681	643.4328852105393	472.8104798246096	299.0620037345485	352.6345432290022	235.52016590542237	298.5170462957134	438.76082697591016	456.6057619242441	227.20167863010136	489.16464927206187	378.2785078081902	238.07435458152278	625.8588052300959	444.9695104941608	531.9885593548121	316.2202051564464	247.9217870174458	320.26059034463555	414.4497271381206	425.86403209898975	199.54853034300487	267.38528294388135	256.93055082933796	314.7686673279362	473.8722041455056	479.39823055400643	583.6130477272183	130.83077601588923	245.4581436520063	164.6058151300828	330.51356376695753	618.3933193969782	263.9219820559309	451.5361163692614	364.71150980099736	599.1826288094605	209.12459939918713	381.3462276766685	465.8690948071008	270.5364646449867	298.4393179926016	344.3018272094362	334.7213885535912	427.01303982183134	399.0933913978132	395.52486388688067	360.0240694128725	328.5431174352892	394.87101218373766	443.5071748488127	432.8301257808176	244.72959203348265	311.6544897580105	292.1421423616559	343.7476289542512	495.15303010821424	336.4705700992847	328.9767866915398	411.3488489632522	501.62319754047434	425.786919890234	333.0238114626136	325.66240703753834	379.8701064990191	264.84486736038167	346.9496738847082	259.21882531544475	660.573936683552	258.4799099052866	421.29888963604577	437.73194344124374	226.53762352252332	174.8496015091941	271.40003699318527	384.4942362873726	376.4485347897068	447.0022332534596	395.76135646792795	342.37639104366303	562.6673562626078	347.1986873187065	435.15177681680734	425.6655772087522	511.45984706126217	303.3786818560898	447.5175092510568	314.7826408660733	374.0899636261839	268.3153175835084	433.6782165521804	458.38148421843937	652.3856065379147	333.5157878355529	260.16446770555694	528.4676028065772	392.8200175479668	257.26003447825144
gRNA_2028	RE50	772.2747480985688	510.8018439757965	472.2662651901146	675.3018554149849	389.6308956617169	803.449376686955	819.9989250678419	522.8497314899199	833.4392141962466	408.4015139348601	445.8024579410781	335.99628470524243	561.4624447917239	595.1920270403269	514.4315689458385	459.9213540213184	467.51876033614377	487.08250395563596	375.59506222800724	763.674083304219	443.4105967954454	558.9307439088965	996.849344329651	540.7561914877598	515.4597299783843	493.06256720689896	530.9115150118264	571.0113498859257	608.2117052031751	462.77121998830506	472.0594525300666	613.7277473921487	681.0326010023645	546.1697337988921	607.525539737835	401.5378520816643	487.80872582688374	591.1193248684044	586.0501884547366	512.022560802752	611.7211455299356	556.7882343458746	382.79386318640684	596.9663879836532	318.0528118951367	755.5627523863665	670.2720932444812	281.6398408015898	596.5845893101256	619.4139650056958	383.9230711506061	362.3349422103388	680.5550402763142	393.55120835997997	631.1669587353978	630.0705190199908	528.1420241313053	510.0340983349027	354.5861694271109	459.8369370674374	445.6394208817397	614.2999802158346	675.4979689611964	362.38894157908203	685.8088590192064	446.4982789134024	487.20939860915195	512.6724285356789	446.01660503372227	702.8819929264698	718.6347646234514	428.4233714065822	572.8009557156954	483.9452529161184	795.5020431077785	471.75491998567986	430.11364065857083	488.3576504236365	686.7240236779095	552.2712829123883	864.7714050424098	613.4271042261466	762.6249449405494	244.75558933426396	726.7093095804368	634.4154898741648	518.8233011524806	381.8814043082613	595.0313674477674	450.18853120209315	439.77213069775553	509.2247414007696	696.65793204217	572.9800503918959	336.6804029216222	547.9711831449096	517.6354600092869	455.77903208733534	587.1922463539272	517.8935319838108	464.5572034902312	574.7398609815816	390.0627227901518	650.9369800114813	760.9434720174092	522.5430781114362	559.6718393475251	463.8013448194604
