run	rep	type	low_gate	high_gate	mfi
Run1	R1	noRE	12.909437094648524	1930.7484690770711	459.4613414118219
Run1	R1	RE57M	3959.1594065770705	20515.46702376458	9439.175579288754
Run1	R1	RE96	94.22143660636738	4092.9853831395726	928.8944897888688
Run1	R2	noRE	-1.9447705622700369	2370.8870836857786	533.5717264597617
Run1	R2	RE57M	4709.3771227482775	24032.52663446703	11216.582468885237
Run1	R2	RE96	57.34520746507371	4293.115013373277	954.0355254388404
Run1	R3	noRE	53.624073715085764	2902.9320510100083	639.1732590466099
Run1	R3	RE57M	5485.357881088133	24158.935420150636	11847.864890432298
Run1	R3	RE96	176.97805931078875	4989.323994369383	1232.854054490103
Run2	R1	RE58	154.0128013938269	4188.5044761985155	1283.2439514357714
Run2	R1	RE57L	2002.7826988547645	22260.404280886025	7369.977259014248
Run2	R1	RE57R	124.75279162820189	1605.3087730735149	823.6768246982658
Run2	R2	RE58	149.91236332734672	4540.760166061723	1300.1894214507502
Run2	R2	RE57L	1344.1823828585966	13195.252451217972	4805.937160673142
Run2	R2	RE57R	89.0823767550811	1622.9223730929716	800.9390406227683
Run2	R3	RE58	128.6745215555768	3883.964621653233	1219.7068150402165
Run2	R3	RE57L	1572.4244605204206	16166.234152903233	5590.83324720223
Run2	R3	RE57R	84.01454841104555	1702.554465403233	830.2627224789455
Run3	R1	RE97	154.70050042623774	1732.4304503774097	885.6134763298953
Run3	R1	RE93	187.81048577780024	3595.368463072723	1277.4647739378283
Run3	R1	RE95	120.82049554342524	2578.5835509633484	1060.3338052850365
Run3	R2	RE97	154.85605529364398	1557.796027217472	815.7779794008453
Run3	R2	RE93	216.4560613971596	3860.095953975285	1306.991956204288
Run3	R2	RE95	125.5960760455971	2405.0269110065356	984.8223244299514
Run3	R3	RE97	193.5188712430627	1855.9488334012658	911.645556904096
Run3	R3	RE93	233.55887978798458	4039.0527884793914	1376.6124122113772
Run3	R3	RE95	124.21888345009395	2679.078716213766	1029.4003233998762
Run4	R1	RE61	424.56141633260313	7011.141067211509	2366.9339452862905
Run4	R1	RE85	1958.0933133052595	12059.877200024011	5216.451149932531
Run4	R1	RE127	167.3814541744	1707.3814236568219	866.5693459669803
Run4	R2	RE61	502.4139584368837	7693.443865663447	2582.741268037782
Run4	R2	RE85	1904.4299984759464	12623.137518007203	5223.464438335797
Run4	R2	RE127	199.80394256774306	1785.233904725946	877.2651619611727
Run4	R3	RE61	616.097032892197	7734.901000177354	2765.188973666529
Run4	R3	RE85	2625.2579825992284	17020.09890056798	7176.185471259314
Run4	R3	RE127	242.72405315586892	1888.2138908023533	979.0280240228409
