sgRNA	Gene	replicate	reporter	H	L	lfc
Klf4_p2_6	Klf4_p2	R1	noRE	1188.5363144495705	981.7384268580436	0.2757728360679654
Klf4_p2_6	Klf4_p2	R1	RE57M	1149.304148945542	1251.9556430848256	-0.12342177943423355
Klf4_p2_6	Klf4_p2	R1	RE97	1081.5598542882922	1252.8897888842196	-0.21214418146485683
Klf4_p2_6	Klf4_p2	R1	RE93	1017.3378601056914	843.0206796786364	0.2711560219542181
Klf4_p2_6	Klf4_p2	R1	RE95	1024.8403597788522	920.8224232296345	0.15440273674524457
Klf4_p2_6	Klf4_p2	R1	RE96	848.0854531695637	1053.4125581580222	-0.31278570462502897
Klf4_p2_6	Klf4_p2	R1	RE58	1194.181373916888	1135.6227175599747	0.07253773395351011
Klf4_p2_6	Klf4_p2	R1	RE61	1016.6522556748442	861.2930554912969	0.23924762816801526
Klf4_p2_6	Klf4_p2	R1	RE85	1157.1634928104702	885.4754861651079	0.3860646158461783
Klf4_p2_6	Klf4_p2	R1	RE127	702.0835014835235	989.3437896521899	-0.4948233416279638
Klf4_p2_6	Klf4_p2	R1	RE57L	1162.7362353317008	1787.6460308928379	-0.6205329004587727
Klf4_p2_6	Klf4_p2	R1	RE57R	988.6690677451759	1406.8525834279917	-0.5089072258953766
Klf4_p2_6	Klf4_p2	R2	noRE	1526.5048920272309	797.7856664892267	0.9361504718818973
Klf4_p2_6	Klf4_p2	R2	RE57M	1007.7177062042323	1095.752028235428	-0.12082864845138974
Klf4_p2_6	Klf4_p2	R2	RE97	741.9717982270978	1116.9575360158826	-0.5901315541560083
Klf4_p2_6	Klf4_p2	R2	RE93	1185.8598850958392	995.0574649518337	0.2530794766276832
Klf4_p2_6	Klf4_p2	R2	RE95	957.0105530818767	1021.2797056446135	-0.09377035484032427
Klf4_p2_6	Klf4_p2	R2	RE96	1016.9648115906385	1113.7093473692216	-0.13110177834418266
Klf4_p2_6	Klf4_p2	R2	RE58	1041.8535052313637	1286.9178972352563	-0.3047649436862562
Klf4_p2_6	Klf4_p2	R2	RE61	1307.0421968484197	931.2179132615641	0.4891105476664216
Klf4_p2_6	Klf4_p2	R2	RE85	608.914580286285	746.8440076922865	-0.2945627068092534
Klf4_p2_6	Klf4_p2	R2	RE127	845.1846933613556	940.4076985525894	-0.15401798140315545
Klf4_p2_6	Klf4_p2	R2	RE57L	1358.3165525977176	1260.0830540658349	0.10830008040915871
Klf4_p2_6	Klf4_p2	R2	RE57R	1058.254684207967	1403.8730330336998	-0.4077222327333317
Klf4_p2_6	Klf4_p2	R3	noRE	745.9733376762545	1255.2251710934818	-0.7507423697756098
Klf4_p2_6	Klf4_p2	R3	RE57M	893.2974405331358	1206.8846861242528	-0.4340711081291022
Klf4_p2_6	Klf4_p2	R3	RE97	663.5806253696254	1043.6794313881294	-0.6533270654301689
Klf4_p2_6	Klf4_p2	R3	RE93	919.5082738668251	828.0796767105456	0.15109123539288274
Klf4_p2_6	Klf4_p2	R3	RE95	837.2705613222734	1181.3297862071752	-0.4966409472999809
Klf4_p2_6	Klf4_p2	R3	RE96	1254.5129498201386	845.0140715120194	0.5700745191948305
Klf4_p2_6	Klf4_p2	R3	RE58	711.7371503681645	1655.4709796677153	-1.2178137183074154
Klf4_p2_6	Klf4_p2	R3	RE61	889.3780506577165	1006.8761932242489	-0.17901570033643024
Klf4_p2_6	Klf4_p2	R3	RE85	670.7521795521255	844.7063902914495	-0.3326656984910199
Klf4_p2_6	Klf4_p2	R3	RE127	1116.41725024464	804.9393037465696	0.4719194145896825
Klf4_p2_6	Klf4_p2	R3	RE57L	2056.6823286240046	1801.1481664495527	0.19140111443181784
Klf4_p2_6	Klf4_p2	R3	RE57R	1143.7161252639153	1330.0373353344837	-0.21773596287579014
Yy1_p1_5	Yy1_p1	R1	noRE	199.91509436594157	272.52270712112914	-0.44696981174833844
Yy1_p1_5	Yy1_p1	R1	RE57M	71.17730612777491	322.51784716470917	-2.179731815808629
Yy1_p1_5	Yy1_p1	R1	RE97	107.70984995564017	334.65709592713154	-1.6354425885224342
Yy1_p1_5	Yy1_p1	R1	RE93	70.161231731427	255.73648915910672	-1.8657628433564286
Yy1_p1_5	Yy1_p1	R1	RE95	177.0004658758242	285.88140412446626	-0.6916325799663999
Yy1_p1_5	Yy1_p1	R1	RE96	46.867880306739046	394.30488415456244	-3.0723689271936023
Yy1_p1_5	Yy1_p1	R1	RE58	62.363741474841014	272.4905353418876	-2.127248357781011
Yy1_p1_5	Yy1_p1	R1	RE61	92.58797328467331	500.1892468700711	-2.433450363001062
Yy1_p1_5	Yy1_p1	R1	RE85	84.44981181240617	237.51736065067104	-1.4917567685513355
Yy1_p1_5	Yy1_p1	R1	RE127	167.4905085238471	133.36742262468246	0.32865099959568883
Yy1_p1_5	Yy1_p1	R1	RE57L	45.62305856122145	222.7596300177991	-2.287401305828181
Yy1_p1_5	Yy1_p1	R1	RE57R	53.75940555283879	346.6158538880559	-2.688521838132789
Yy1_p1_5	Yy1_p1	R2	noRE	65.18133836479912	262.0293098146434	-2.007031054935927
Yy1_p1_5	Yy1_p1	R2	RE57M	146.3724042531287	123.88279300113916	0.24064987982228586
Yy1_p1_5	Yy1_p1	R2	RE97	46.59726269059068	384.9176905059186	-3.0459607689052093
Yy1_p1_5	Yy1_p1	R2	RE93	229.8238669862734	341.29613911425463	-0.5704749637718539
Yy1_p1_5	Yy1_p1	R2	RE95	86.51375399860164	271.864299926412	-1.6517716150733739
Yy1_p1_5	Yy1_p1	R2	RE96	66.1027127533915	328.6355451253441	-2.313532811042644
Yy1_p1_5	Yy1_p1	R2	RE58	107.41213482020423	337.22807024727854	-1.6504761110876915
Yy1_p1_5	Yy1_p1	R2	RE61	125.67713431234806	499.96314966319454	-1.9920136401067987
Yy1_p1_5	Yy1_p1	R2	RE85	120.29976822976673	246.62138571770208	-1.035602622295231
Yy1_p1_5	Yy1_p1	R2	RE127	174.88725981924958	174.83927508843522	3.958714480868631e-4
Yy1_p1_5	Yy1_p1	R2	RE57L	113.16282093737995	386.6391564939684	-1.772497536916085
Yy1_p1_5	Yy1_p1	R2	RE57R	120.2349486478548	296.4070322818802	-1.301652058750344
Yy1_p1_5	Yy1_p1	R3	noRE	140.98008018583977	323.1803072089903	-1.1967902702057533
Yy1_p1_5	Yy1_p1	R3	RE57M	114.61861253276489	356.72520811106233	-1.6378864089207035
Yy1_p1_5	Yy1_p1	R3	RE97	39.735366788600324	369.20913988990475	-3.215618745613111
Yy1_p1_5	Yy1_p1	R3	RE93	60.00391526133647	263.6991591854941	-2.135578721620941
Yy1_p1_5	Yy1_p1	R3	RE95	217.8722671211089	360.82956171449	-0.7278087374276945
Yy1_p1_5	Yy1_p1	R3	RE96	145.09176570557315	305.9533707198691	-1.0762938716006256
Yy1_p1_5	Yy1_p1	R3	RE58	113.69603041024992	357.84198032118735	-1.6540541936940911
Yy1_p1_5	Yy1_p1	R3	RE61	47.08195080242014	546.9902126529797	-3.5379890006906956
Yy1_p1_5	Yy1_p1	R3	RE85	88.6945030812728	225.53176350123877	-1.3463153517628
Yy1_p1_5	Yy1_p1	R3	RE127	128.50846045981467	201.03135290738393	-0.6455166811926779
Yy1_p1_5	Yy1_p1	R3	RE57L	141.1981078119837	723.6482248588601	-2.357485563629327
Yy1_p1_5	Yy1_p1	R3	RE57R	316.6927438758007	449.2943800498493	-0.5045637592995249
gRNA_2083	RE51	R1	noRE	662.7322306377789	384.15851485749533	0.7867085669228924
gRNA_2083	RE51	R1	RE57M	494.05424253396706	935.3017567776566	-0.9207486764332898
gRNA_2083	RE51	R1	RE97	693.4219926138255	492.3054799589207	0.4941712959703345
gRNA_2083	RE51	R1	RE93	440.7002368130258	435.6617661168972	0.016588786057587727
gRNA_2083	RE51	R1	RE95	444.03363625558495	613.881615486423	-0.46728250822078793
