tu	gene	prom	TFi.beta	TFi.pval	TFi.fdr	TFiMini.beta	TFiMini.pval	TFiMini.fdr	sig
Foxn3_p2	Foxn3	p2	0.088959	0.1972	1	0.11615	0.24451	0.4264	ns
Grhl2_p1	Grhl2	p1	0.40631	0.0015722	0.10012	0.31209	0.012146	0.059892	both
Tcf7_p2	Tcf7	p2	0.17743	0.059887	0.86694	-0.013065	0.89453	0.94057	ns
Zfp236_p1	Zfp236	p1	0.25105	0.020033	0.48078	0.42296	0.010975	0.05605	both
Mis18bp1_p1	Mis18bp1	p1	0.11453	0.12084	1	0.18474	0.17295	0.3637	ns
Csrnp1_p1	Csrnp1	p1	-0.10168	0.18427	1	-0.14819	0.17753	0.36683	ns
Zic3_p1	Zic3	p1	-0.64687	3.2303e-7	6.5022e-5	-0.74296	4.3589e-6	1.0389e-4	both
Foxm1_p1	Foxm1	p1	0.15248	0.14436	1	0.13267	0.2161	0.40661	ns
Klf5_p1	Klf5	p1	0.11558	0.065571	0.90885	0.19523	0.045646	0.1518	TFiMini
Erf_p1	Erf	p1	0.17089	0.14628	1	0.2086	0.15952	0.35643	ns
Arnt_p1	Arnt	p1	-0.2608	0.002271	0.12945	-0.57083	1.7353e-5	3.5451e-4	both
Mitf_p1	Mitf	p1	-0.072613	0.17354	1	-0.0010933	0.9877	0.99077	ns
Usf1_p1	Usf1	p1	-0.14064	0.002759	0.14662	0.17119	0.094325	0.24979	TFi
Zfp958_p1	Zfp958	p1	0.1194	0.19529	1	0.32265	0.015458	0.069076	TFiMini
Zfp217_p1	Zfp217	p1	-0.19382	0.0028937	0.14662	-0.080602	0.23479	0.42199	TFi
Setdb1_p1	Setdb1	p1	0.27788	0.0039326	0.18876	0.27586	0.041593	0.14162	both
Sub1_p1	Sub1	p1	-0.093757	0.16004	1	-0.001217	0.99077	0.99077	ns
Gtf2ird1_p2	Gtf2ird1	p2	0.15127	0.08646	1	0.19097	0.053377	0.15902	ns
Otx2_p2	Otx2	p2	-0.52584	2.8416e-7	6.5022e-5	-0.53982	1.0883e-4	0.0014148	both
Zfp654_p1	Zfp654	p1	0.11878	0.014929	0.40046	0.037693	0.7416	0.88193	TFi
Sox2_p1	Sox2	p1	-0.11609	0.16283	1	-0.040384	0.66766	0.83023	ns
