motif_id	cluster	source_id	tf_name	family_name	motif_type	PMID
BANP_Grand2021	AC0375	BANP	BANP	Unknown	ChIP-seq	34234345
M00217_2.00	AC0237	ZNF200_H322Y	ZNF200	C2H2 ZF	PBM	27013732
M00218_2.00	AC0623	ZNF200_REF	ZNF200	C2H2 ZF	PBM	27013732
M00219_2.00	AC0623	ZNF200_S265Y	ZNF200	C2H2 ZF	PBM	27013732
M00220_2.00	AC0606	SNAI2_D119E	SNAI2	C2H2 ZF	PBM	27013732
M00221_2.00	AC0606	SNAI2_REF	SNAI2	C2H2 ZF	PBM	27013732
M00222_2.00	AC0606	SNAI2_T234I	SNAI2	C2H2 ZF	PBM	27013732
M00223_2.00	AC0111	KLF1_E325K	KLF1	C2H2 ZF	PBM	27013732
M00224_2.00	AC0108	KLF1_H299Y	KLF1	C2H2 ZF	PBM	27013732
M00225_2.00	AC0583	KLF1_R328H	KLF1	C2H2 ZF	PBM	27013732
M00226_2.00	AC0108	KLF1_REF	KLF1	C2H2 ZF	PBM	27013732
M00227_2.00	AC0010	BCL6_H676Y	BCL6	C2H2 ZF	PBM	27013732
M00228_2.00	AC0441	BCL6_REF	BCL6	C2H2 ZF	PBM	27013732
M00229_2.00	AC0550	EGR2_D383Y	EGR2	C2H2 ZF	PBM	27013732
M00230_2.00	AC0105	EGR2_E412K	EGR2	C2H2 ZF	PBM	27013732
M00231_2.00	AC0106	EGR2_R359W	EGR2	C2H2 ZF	PBM	27013732
M00232_2.00	AC0108	EGR2_R409W	EGR2	C2H2 ZF	PBM	27013732
M00233_2.00	AC0105	EGR2_REF	EGR2	C2H2 ZF	PBM	27013732
M00234_2.00	AC0075	OVOL2_D228E	OVOL2	C2H2 ZF	PBM	27013732
M00235_2.00	AC0075	OVOL2_REF	OVOL2	C2H2 ZF	PBM	27013732
M00236_2.00	AC0440	GFI1_L400F	GFI1	C2H2 ZF	PBM	27013732
M00237_2.00	AC0256	GFI1_N382S	GFI1	C2H2 ZF	PBM	27013732
M00238_2.00	AC0440	GFI1_REF	GFI1	C2H2 ZF	PBM	27013732
M00239_2.00	AC0526	GFI1B_A204T	GFI1B	C2H2 ZF	PBM	27013732
M00240_2.00	AC0526	GFI1B_REF	GFI1B	C2H2 ZF	PBM	27013732
M00241_2.00	AC0108	KLF11_R402Q	KLF11	C2H2 ZF	PBM	27013732
M00242_2.00	AC0108	KLF11_REF	KLF11	C2H2 ZF	PBM	27013732
M00243_2.00	AC0441	WT1_F392L	WT1	C2H2 ZF	PBM	27013732
M00244_2.00	AC0583	WT1_H373Y	WT1	C2H2 ZF	PBM	27013732
M00245_2.00	AC0441	WT1_R366C	WT1	C2H2 ZF	PBM	27013732
M00246_2.00	AC0441	WT1_R366L	WT1	C2H2 ZF	PBM	27013732
M00247_2.00	AC0583	WT1_R394L	WT1	C2H2 ZF	PBM	27013732
M00248_2.00	AC0583	WT1_R394W	WT1	C2H2 ZF	PBM	27013732
M00249_2.00	AC0106	WT1_REF	WT1	C2H2 ZF	PBM	27013732
M00250_2.00	AC0439	ZNF655_E327G	ZNF655	C2H2 ZF	PBM	27013732
M00251_2.00	AC0439	ZNF655_REF	ZNF655	C2H2 ZF	PBM	27013732
M00252_2.00	AC0439	ZNF655_S393L	ZNF655	C2H2 ZF	PBM	27013732
M00253_2.00	AC0385	FOXC1_F112S	FOXC1	Forkhead	PBM	27013732
M00254_2.00	AC0387	FOXC1_I126M	FOXC1	Forkhead	PBM	27013732
M00255_2.00	AC0583	FOXC1_L130F	FOXC1	Forkhead	PBM	27013732
M00256_2.00	AC0574	FOXC1_P79L	FOXC1	Forkhead	PBM	27013732
M00257_2.00	AC0379	FOXC1_REF	FOXC1	Forkhead	PBM	27013732
M00258_2.00	AC0436	FOXC1_S131L	FOXC1	Forkhead	PBM	27013732
M00259_2.00	AC0387	FOXC1_S82T	FOXC1	Forkhead	PBM	27013732
M00260_2.00	AC0010	ARX_L343Q	ARX	Homeodomain	PBM	27013732
M00261_2.00	AC0009	ARX_P353L	ARX	Homeodomain	PBM	27013732
M00262_2.00	AC0010	ARX_P353R	ARX	Homeodomain	PBM	27013732
M00263_2.00	AC0010	ARX_R332H	ARX	Homeodomain	PBM	27013732
M00264_2.00	AC0009	ARX_REF	ARX	Homeodomain	PBM	27013732
M00265_2.00	AC0010	ARX_T333N	ARX	Homeodomain	PBM	27013732
