Gene	reporter	pval	fdr	lfc	norm_lfc	zfc
Adnp_p1	RE127	0.009147739790747756	0.859887540330289	-0.5109417166106102	-0.3744464764458405	0.6234072206687643
Adnp_p1	RE57L	0.21463390120647613	1	-0.1817430550897217	-0.04524781492495205	-0.1397448607282318
Adnp_p1	RE57M	0.004538464326263431	0.3585386817748111	-0.6022187184358859	-0.4657234782711163	0.4524257699964729
Adnp_p1	RE57R	0.03916827293173809	1	-0.5841063082992713	-0.4476110681345017	0.6300814157621065
Adnp_p1	RE58	0.024802725661171462	1	-0.6239558880206311	-0.48746064785586146	0.4347432874055348
Adnp_p1	RE61	0.01231629993095906	0.9795694597956706	-0.5476855532034084	-0.4111903130386387	0.48146296116522685
Adnp_p1	RE85	0.05970929951801893	1	-0.19098976236215212	-0.054494522197382475	-0.2131457637554965
Adnp_p1	RE93	0.011259862728983192	0.9908679201505209	-0.4033362056082314	-0.2668409654434618	0.46128487373168203
Adnp_p1	RE95	0.013961260438872998	1	-0.48864766330838977	-0.3521524231436201	0.5661174099582138
Adnp_p1	RE96	0.10349541900864147	1	-0.4860310968516742	-0.34953585668690457	0.3664580057197174
Adnp_p1	RE97	1.664623756639451e-8	1.797793657170607e-6	-1.2616845874023617	-1.1251893472375922	1.7030465892321884
Ahctf1_p1	RE127	0.2664777962766314	1	0.05303992807217205	-0.12040131279427829	0.1425473193613792
Ahctf1_p1	RE57L	0.11021753144366984	1	-0.289987029711587	-0.46342827057803737	0.23905280358306674
Ahctf1_p1	RE57M	0.707007421440955	1	0.015887483162572963	-0.1575537577038774	0.04979134772829247
Ahctf1_p1	RE57R	0.8419511412825533	1	0.0945537402371117	-0.07888750062933865	0.03896125666503658
Ahctf1_p1	RE58	0.5708623961902717	1	-0.04169295103648734	-0.2151341919029377	0.07706630272968386
Ahctf1_p1	RE61	0.7362540271619757	1	0.016398044196301656	-0.1570431966701487	0.045587862968175255
Ahctf1_p1	RE85	0.4236609994842989	1	-0.14488580541012902	-0.3183270462765794	0.12286923308251452
Ahctf1_p1	RE93	0.022135522143766254	1	0.3865074279470674	0.21306618708061706	-0.44903934244695115
Ahctf1_p1	RE95	0.8154657387352721	1	0.11156948780831247	-0.061871753058137885	-0.03682284233459016
Ahctf1_p1	RE96	0.5969048578542882	1	0.11332377104448543	-0.06011746982196492	-0.09289934374700264
Ahctf1_p1	RE97	0.468715405415302	1	-0.036617175244641434	-0.21005841611109177	0.1581627663187696
Arid1a_p1	RE127	0.019818089977553056	1	-0.11278174934156777	-0.3282589222730197	0.5417067233218689
Arid1a_p1	RE57L	0.09778374125181838	1	0.3019907993766043	0.08651362644515231	-0.29925399894893606
Arid1a_p1	RE57M	0.23201502561621426	1	-0.05012684598522243	-0.2656040189166744	0.1880444554072627
Arid1a_p1	RE57R	0.5899855417154469	1	0.02549761545441513	-0.18997955747703685	0.11797924250605295
Arid1a_p1	RE58	0.4357595286297893	1	-0.06690589477924622	-0.2823830677106982	0.15921995650265972
Arid1a_p1	RE61	0.008259619713047	0.685548436182901	-0.21477918194526954	-0.43025635487672154	0.5247081227791958
Arid1a_p1	RE85	0.03251643706372731	1	-0.3370284289366596	-0.5525056018681116	0.4206000843597489
Arid1a_p1	RE93	0.6828508027393081	1	0.24541872627336883	0.029941553341916862	-0.10227898988640566
Arid1a_p1	RE95	0.29937699989277844	1	0.0691261782146999	-0.14635099471675206	0.18324169379431815
Arid1a_p1	RE96	0.7854718265309513	1	0.04580862847341195	-0.16966854445804003	0.05736062323317728
Arid1a_p1	RE97	0.13487279454576423	1	0.29101718403921717	0.07554001110776522	-0.3180494740153744
Arid4a_p1	RE127	0.009712798246472953	0.8838646404290388	-0.21635918505530136	0.16508247348333097	-0.4111141042738133
Arid4a_p1	RE57L	0.35543419535774823	1	-0.39018815886979025	-0.008746500331157937	-0.17849780522707812
Arid4a_p1	RE57M	0.7543120821756379	1	-0.44818570950467856	-0.0667440509660463	-0.08050657092813499
