Gene	sgRNA	Selected|beta	Selected|z	Selected|p-value	Selected|fdr	Selected|wald-p-value	Selected|wald-fdr
Smarcal1_p1	8	0.070579	1.4695	0.20979	0.83333	0.14169	0.7739
Usf1_p1	8	0.0073478	0.15179	0.71469	0.92683	0.87935	0.97267
Grhl2_p1	8	-0.10016	-1.3995	0.29091	0.84138	0.16166	0.7739
Smad7_p1	8	0.089799	1.3501	0.13007	0.775	0.17698	0.7739
Zfp207_p1	8	0.065408	0.80087	0.24196	0.84138	0.42321	0.85949
Zfp36l1_p1	8	0.03551	0.36963	0.44056	0.88732	0.71166	0.92758
Smarce1_p2	8	-0.065812	-0.63963	0.55524	0.92683	0.52241	0.90945
Ascl2_p2	8	-0.024467	-0.4524	0.93986	0.98102	0.65098	0.92536
RE58	10	0.006692	0.11177	0.68252	0.92683	0.911	0.97267
Tead4_p1	8	0.046559	0.43985	0.35385	0.84333	0.66004	0.92536
Foxi3_p1	8	0.19386	2.3551	0.0027972	0.13333	0.018519	0.52963
Foxm1_p1	8	-0.11822	-1.437	0.19301	0.78857	0.15072	0.7739
Ubp1_p2	8	0.00083787	0.0058262	0.78182	0.92683	0.99535	0.99535
Nkrf_p1	8	0.028232	0.6024	0.5007	0.92683	0.54691	0.90945
RE50	10	-0.16939	-1.3912	0.037762	0.7	0.16417	0.7739
Zfp518b_p1	8	0.035502	0.51112	0.44056	0.88732	0.60927	0.92536
Sall4_p1	8	0.048754	0.79692	0.33706	0.84138	0.4255	0.85949
E2f8_p2	8	0.044699	0.44505	0.37203	0.86667	0.65628	0.92536
Prdm14_p1	8	0.011434	0.18047	0.66573	0.92683	0.85678	0.96599
Gm38394_p1	8	-0.077993	-1.396	0.42238	0.88732	0.16272	0.7739
Pou5f1_p1	8	0.0080892	0.098717	0.7021	0.92683	0.92136	0.97596
Dcp1a_p1	8	0.13238	1.437	0.020979	0.7	0.15071	0.7739
Srebf2_p1	8	0.012424	0.17337	0.65455	0.92683	0.86236	0.96599
Nfrkb_p1	8	0.036548	0.55945	0.42937	0.88732	0.57585	0.91157
Zfp958_p1	8	0.015788	0.175	0.62937	0.92683	0.86108	0.96599
Son_p1	8	-0.053134	-0.68843	0.67832	0.92683	0.49118	0.88292
Pias1_p1	8	-0.084408	-0.90327	0.38182	0.86667	0.36638	0.85949
Zfp866_p2	1	0.35192	1.1818	0.054545	0.75714	0.23728	0.80527
Klf16_p1	8	-0.00060639	-0.015027	0.7972	0.92683	0.98801	0.99497
Csde1_p1	8	-0.096559	-1.1558	0.3049	0.84138	0.24777	0.80527
Zfp574_p2	8	0.044255	0.68406	0.37622	0.86667	0.49394	0.88292
Mllt10_p2	8	-0.039644	-0.74813	0.78881	0.92683	0.45438	0.8651
RE53	10	0.013108	0.2726	0.60559	0.92683	0.78516	0.96599
Nfatc4_p1	8	-0.012784	-0.23283	0.92448	0.975	0.81589	0.96599
Pias2_p2	8	0.10307	1.7129	0.062937	0.75714	0.086729	0.7739
Mbd3_p1	8	-0.028611	-0.36713	0.9007	0.975	0.71352	0.92758
Rlf_p1	8	0.077266	1.157	0.17483	0.78125	0.24726	0.80527
Hnrnpk_p1	8	-0.13192	-1.2875	0.14406	0.78065	0.19793	0.7739
RE49	10	-0.099911	-1.8568	0.25455	0.84138	0.06334	0.7739
Zfp281_p1	8	0.06442	0.90368	0.24336	0.84138	0.36616	0.85949
Gm20422_p1	8	0.0068758	0.17044	0.71469	0.92683	0.86467	0.96599
Zfp296_p1	8	0.0032932	0.048868	0.75524	0.92683	0.96102	0.98868
Foxn3_p2	8	0.0525	0.81776	0.31608	0.84138	0.4135	0.85949
Klf2_p1	8	-0.019738	-0.32681	0.9958	0.9958	0.74381	0.93651
Esrrb_p3	8	0.082654	1.5246	0.15524	0.78065	0.12736	0.7739
