gene	transcript	chromosome	strand	source	TSS	cluster	id
2610021A01Rik	ENSMUST00000205587.1	chr7	+	HAVANA	41599230	p1	2610021A01Rik_p1
2610021A01Rik	ENSMUST00000163475.2	chr7	+	HAVANA	41599261	p1	2610021A01Rik_p1
2610021A01Rik	ENSMUST00000205721.1	chr7	+	HAVANA	41599285	p1	2610021A01Rik_p1
2610021A01Rik	ENSMUST00000205433.1	chr7	+	HAVANA	41599324	p1	2610021A01Rik_p1
2610044O15Rik8	ENSMUST00000190157.6	chr8	-	HAVANA	129234046	p1	2610044O15Rik8_p1
2610044O15Rik8	ENSMUST00000191043.6	chr8	-	HAVANA	129234013	p1	2610044O15Rik8_p1
2610044O15Rik8	ENSMUST00000188757.6	chr8	-	HAVANA	129234368	p1	2610044O15Rik8_p1
2610044O15Rik8	ENSMUST00000186619.6	chr8	-	HAVANA	129234018	p1	2610044O15Rik8_p1
2610044O15Rik8	ENSMUST00000189965.1	chr8	-	HAVANA	129234406	p1	2610044O15Rik8_p1
4930522L14Rik	ENSMUST00000112547.7	chr5	-	HAVANA	109751597	p1	4930522L14Rik_p1
4930522L14Rik	ENSMUST00000100937.3	chr5	-	HAVANA	109751886	p1	4930522L14Rik_p1
5730507C01Rik	ENSMUST00000177778.8	chr12	+	HAVANA	18514510	p1	5730507C01Rik_p1
5730507C01Rik	ENSMUST00000063216.5	chr12	+	HAVANA	18514546	p1	5730507C01Rik_p1
Adnp	ENSMUST00000057793.10	chr2	-	HAVANA	168206922	p1	Adnp_p1
Adnp	ENSMUST00000088001.5	chr2	-	HAVANA	168207112	p1	Adnp_p1
Adnp	ENSMUST00000139984.7	chr2	-	HAVANA	168206709	p1	Adnp_p1
Adnp	ENSMUST00000131200.1	chr2	-	HAVANA	168206709	p1	Adnp_p1
Aebp2	ENSMUST00000032359.14	chr6	+	HAVANA	140622663	p1	Aebp2_p1
Aebp2	ENSMUST00000087614.10	chr6	+	HAVANA	140623499	p2	Aebp2_p2
Aebp2	ENSMUST00000095350.10	chr6	+	HAVANA	140623689	p2	Aebp2_p2
Aebp2	ENSMUST00000160836.7	chr6	+	HAVANA	140624909	p3	Aebp2_p3
Aff1	ENSMUST00000126335.1	chr5	+	HAVANA	103692374	p1	Aff1_p1
Aff1	ENSMUST00000054979.9	chr5	+	HAVANA	103754162	p2	Aff1_p2
Aff1	ENSMUST00000153165.7	chr5	+	HAVANA	103754564	p2	Aff1_p2
Aff1	ENSMUST00000031256.5	chr5	+	ENSEMBL	103754573	p2	Aff1_p2
Ahctf1	ENSMUST00000027768.13	chr1	-	HAVANA	179803680	p1	Ahctf1_p1
Ahctf1	ENSMUST00000147137.1	chr1	-	HAVANA	179803606	p1	Ahctf1_p1
Ahr	ENSMUST00000116436.8	chr12	-	HAVANA	35535038	p1	Ahr_p1
Ahr	ENSMUST00000110811.2	chr12	-	HAVANA	35534623	p1	Ahr_p1
Aire	ENSMUST00000145975.7	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000130972.7	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000128241.7	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000143548.7	chr10	-	HAVANA	78038258	p2	Aire_p2
Aire	ENSMUST00000131028.7	chr10	-	HAVANA	78043610	p1	Aire_p1
Aire	ENSMUST00000155021.7	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000140636.7	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000148469.7	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000019257.14	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000105395.8	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000156417.7	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000105396.8	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000143735.7	chr10	-	HAVANA	78043572	p1	Aire_p1
Aire	ENSMUST00000154374.1	chr10	-	HAVANA	78043580	p1	Aire_p1
Aire	ENSMUST00000143452.1	chr10	-	HAVANA	78038260	p2	Aire_p2
Arid1a	ENSMUST00000145664.8	chr4	-	HAVANA	133753611	p1	Arid1a_p1
Arid1a	ENSMUST00000105897.9	chr4	-	ENSEMBL	133753611	p1	Arid1a_p1
Arid1a	ENSMUST00000008024.6	chr4	-	HAVANA	133756769	p2	Arid1a_p2
Arid1a	ENSMUST00000138473.2	chr4	-	HAVANA	133753982	p1	Arid1a_p1
Arid2	ENSMUST00000134985.8	chr15	+	HAVANA	96287518	p1	Arid2_p1
Arid2	ENSMUST00000096250.4	chr15	+	HAVANA	96287573	p1	Arid2_p1
Arid3a	ENSMUST00000019708.11	chr10	+	HAVANA	79927043	p1	Arid3a_p1
Arid3a	ENSMUST00000105377.7	chr10	+	HAVANA	79927139	p1	Arid3a_p1
Arid3a	ENSMUST00000105376.1	chr10	+	HAVANA	79927341	p1	Arid3a_p1
Arid3a	ENSMUST00000131118.1	chr10	+	HAVANA	79930424	p2	Arid3a_p2
Arid3b	ENSMUST00000164010.7	chr9	-	HAVANA	57836706	p1	Arid3b_p1
Arid3b	ENSMUST00000171444.7	chr9	-	HAVANA	57836708	p1	Arid3b_p1
Arid3b	ENSMUST00000114165.8	chr9	-	HAVANA	57836478	p1	Arid3b_p1
Arid3b	ENSMUST00000164035.7	chr9	-	HAVANA	57836761	p1	Arid3b_p1
Arid3b	ENSMUST00000098686.3	chr9	-	HAVANA	57836793	p1	Arid3b_p1
Arid3b	ENSMUST00000167670.1	chr9	-	HAVANA	57836770	p1	Arid3b_p1
Arid4a	ENSMUST00000046305.11	chr12	+	HAVANA	71015990	p1	Arid4a_p1
Arid4a	ENSMUST00000134718.1	chr12	+	HAVANA	71016029	p1	Arid4a_p1
Arid4a	ENSMUST00000125125.1	chr12	+	HAVANA	71016708	p2	Arid4a_p2
Arid4b	ENSMUST00000155553.7	chr13	+	HAVANA	14063232	p1	Arid4b_p1
Arid4b	ENSMUST00000129488.7	chr13	+	HAVANA	14063784	p2	Arid4b_p2
Arid4b	ENSMUST00000110536.7	chr13	+	HAVANA	14063785	p2	Arid4b_p2
Arid4b	ENSMUST00000110534.7	chr13	+	HAVANA	14063792	p2	Arid4b_p2
Arid4b	ENSMUST00000039538.14	chr13	+	ENSEMBL	14063792	p2	Arid4b_p2
Arid4b	ENSMUST00000110533.1	chr13	+	HAVANA	14063799	p2	Arid4b_p2
Arid4b	ENSMUST00000151182.1	chr13	+	HAVANA	14064055	p2	Arid4b_p2
Arid4b	ENSMUST00000222928.1	chr13	+	HAVANA	14064823	p3	Arid4b_p3
Arid5b	ENSMUST00000219238.1	chr10	-	HAVANA	68278740	p1	Arid5b_p1
Arid5b	ENSMUST00000020106.8	chr10	-	HAVANA	68278721	p1	Arid5b_p1
Arid5b	ENSMUST00000218532.1	chr10	-	HAVANA	68136626	p2	Arid5b_p2
Arid5b	ENSMUST00000218425.1	chr10	-	HAVANA	68278721	p1	Arid5b_p1
Arnt	ENSMUST00000147765.7	chr3	+	HAVANA	95434388	p1	Arnt_p1
Arnt	ENSMUST00000102749.10	chr3	+	HAVANA	95434388	p1	Arnt_p1
Arnt	ENSMUST00000090804.11	chr3	+	ENSEMBL	95434390	p1	Arnt_p1
Arnt	ENSMUST00000107161.7	chr3	+	HAVANA	95434404	p1	Arnt_p1
Arnt	ENSMUST00000107160.7	chr3	+	HAVANA	95434428	p1	Arnt_p1
Arnt	ENSMUST00000015666.16	chr3	+	ENSEMBL	95434428	p1	Arnt_p1
Arnt	ENSMUST00000149051.7	chr3	+	HAVANA	95434519	p1	Arnt_p1
Ascl2	ENSMUST00000009392.5	chr7	-	HAVANA	142969264	p1	Ascl2_p1
Ascl2	ENSMUST00000121862.2	chr7	-	HAVANA	142968717	p2	Ascl2_p2
Atf1	ENSMUST00000023769.10	chr15	+	HAVANA	100227819	p1	Atf1_p1
Atf1	ENSMUST00000163855.7	chr15	+	HAVANA	100227871	p1	Atf1_p1
Atf1	ENSMUST00000171869.2	chr15	+	HAVANA	100228263	p1	Atf1_p1
Atf2	ENSMUST00000112010.8	chr2	-	HAVANA	73892536	p1	Atf2_p1
Atf2	ENSMUST00000090802.10	chr2	-	HAVANA	73892612	p1	Atf2_p1
Atf2	ENSMUST00000055833.11	chr2	-	HAVANA	73892614	p1	Atf2_p1
Atf2	ENSMUST00000112007.7	chr2	-	HAVANA	73892631	p1	Atf2_p1
Atf2	ENSMUST00000112016.8	chr2	-	HAVANA	73892639	p1	Atf2_p1
