gene name	chromosome	start	end	strand	half-time	basal skewing	sqrtRSS	RPKM (t=0)	known escapee? (source)	known silenced? (source)	validated by mRNA-Seq (half-time)	predicted class by XCI/escape model	class probability
Cnksr2	chrX	157821435	158043294	-	0.01	0.78	0.87	0.55	Yes (7*)		Yes (0.37)	0	0.94
Stag2	chrX	42149316	42277185	+	0.05	0.68	0.64	4.92	Yes (7*)		 	0	0.84
Iqsec2	chrX	152144267	152225236	+	0.06	0.66	0.57	1.81		Yes (1), proximal to ecapee	Yes (0.52)	0	0.98
Rbm41	chrX	139889510	139998595	-	0.10	0.57	0.63	3.25	Yes (6,7*)	Yes (6), early inactivation in EBs, escapee in neuronal progenitor cells	Yes (0.49)	0	0.96
Fmr1	chrX	68678540	68717963	+	0.12	0.48	0.51	5.88	Yes (5)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells		0	0.75
Fam122b	chrX	53243414	53269805	-	0.12	0.49	0.47	9.48			Yes (0.4)	0	0.71
Gm14858	chrX	102252521	102365498	+	0.14	0.67	0.35	1.05			 	0	0.85
Fundc1	chrX	17556563	17572325	-	0.15	0.62	0.78	5.86		Yes (1)		1	0.20
Rbmx	chrX	57383529	57393036	-	0.16	0.59	0.61	15.94	Yes (7*)		Yes (0.48)	0	0.79
4933407K13Rik	chrX	75706931	75764699	-	0.17	0.70	0.71	4.88	Yes (7*)		Yes (0.45)	0	0.60
Fam199x	chrX	137049593	137082503	+	0.19	0.40	0.42	4.10	Yes (5,7*)		Yes (0.2)	0	0.92
Pls3	chrX	75785653	75875182	-	0.20	0.52	0.45	74.80	Yes (7*)		Yes (0.45)	0	0.95
Prdx4	chrX	155323917	155340754	-	0.20	0.65	0.81	20.68	Yes (7*)			0	0.73
Stard8	chrX	99003247	99074728	+	0.22	0.37	0.24	6.70	Yes (7*)		Yes (0.4)	0	0.64
Rlim	chrX	103957162	103981284	-	0.24	0.51	0.27	14.24	Yes (5)	Yes (3,6)	Yes (0.13)	0	0.56
Med12	chrX	101274029	101297465	+	0.25	0.61	0.57	15.13	Yes (7*)		Yes (0.46)	0	0.90
Prkx	chrX	77761410	77796278	-	0.25	0.43	0.43	4.45			Yes (0.91)	0	0.95
Slc10a3	chrX	74369216	74373349	-	0.25	0.67	0.55	20.91	Yes (7*)		Yes (0.28)	0	0.65
Nhsl2	chrX	101849384	102092055	+	0.27	0.46	0.36	2.53	Yes (7*)		Yes (0.28)	0	0.94
Amer1	chrX	95420317	95444872	-	0.27	0.53	0.97	8.28	Yes (7*,**)		Yes (0.36)	0	0.68
Prrg1	chrX	78449612	78583896	-	0.27	0.59	0.30	1.26	Yes (7*)		Yes (0.29)	0	0.96
Slc25a53	chrX	136981115	137038302	-	0.28	0.44	0.21	3.74			Yes (0.23)	0	0.92
