xist_bin	gene	position	n	ratio	hclust
1	Atrx	105929403	42	0.552867106438535	weak_XCI
1	Cited1	102252181	22	0.47835497835497837	early_XCI
1	Dkc1	75095854	31	0.4753456221198157	weak_XCI
1	Ebp	8193512	37	0.48815958815958815	strong_XCI
1	Eif1ax	159372178	39	0.4159928034928035	strong_XCI
1	Emd	74254687	40	0.4327840909090909	weak_XCI
1	Flna	74249820	37	0.4626984126984127	strong_XCI
1	Hprt	52988137	35	0.45	early_XCI
1	Hsd17b10	152001845	15	0.5444444444444444	weak_XCI
1	Htatsf1	57053583	18	0.2777777777777778	strong_XCI
1	Idh3g	73786897	22	0.48484848484848486	no_XCI
1	Klhl13	23365082	25	0.386	weak_XCI
1	Ndufb11	20617619	37	0.47001287001287	strong_XCI
1	Pbdc1	105079756	32	0.5338541666666666	no_XCI
1	Pdha1	160138413	31	0.3741935483870968	strong_XCI
1	Prdx4	155340754	41	0.5657823883433639	weak_XCI
1	Prps1	140456613	30	0.5505555555555556	early_XCI
1	Rbm3	8145880	21	0.276984126984127	no_XCI
1	Rlim	103981284	37	0.43503861003861005	early_XCI
1	Rps4x	102189394	42	0.4826281522710094	weak_XCI
1	Slc7a3	101086020	37	0.24841269841269842	strong_XCI
1	Tceal9	136245079	43	0.3909382946714648	strong_XCI
1	Uba1	20658326	38	0.5028822055137845	weak_XCI
1	Xist	103483254	44	1	Xist
1	Zrsr2	163958661	44	0.3568722943722944	weak_XCI
2	Atrx	105929403	34	0.33946347769877183	weak_XCI
2	Cited1	102252181	18	0.10185185185185185	early_XCI
2	Dkc1	75095854	23	0.26811594202898553	weak_XCI
2	Ebp	8193512	26	0.24679487179487178	strong_XCI
2	Eif1ax	159372178	39	0.3370980870980871	strong_XCI
2	Emd	74254687	31	0.4234767025089606	weak_XCI
2	Flna	74249820	30	0.24833333333333332	strong_XCI
2	Hprt	52988137	26	0.23365384615384616	early_XCI
2	Hsd17b10	152001845	18	0.21296296296296297	weak_XCI
2	Htatsf1	57053583	18	0.37037037037037035	strong_XCI
2	Idh3g	73786897	20	0.4	no_XCI
2	Klhl13	23365082	16	0.1919642857142857	weak_XCI
2	Ndufb11	20617619	35	0.44904761904761903	strong_XCI
2	Pbdc1	105079756	20	0.49166666666666664	no_XCI
2	Pdha1	160138413	28	0.23511904761904762	strong_XCI
2	Prdx4	155340754	34	0.46225490196078434	weak_XCI
2	Prps1	140456613	30	0.225	early_XCI
2	Rbm3	8145880	19	0.31666666666666665	no_XCI
2	Rlim	103981284	35	0.10530612244897959	early_XCI
2	Rps4x	102189394	41	0.35915304207987137	weak_XCI
2	Slc7a3	101086020	26	0.18333333333333332	strong_XCI
2	Tceal9	136245079	39	0.27005217005217	strong_XCI
2	Uba1	20658326	38	0.45075757575757575	weak_XCI
2	Xist	103483254	44	0.9922077922077922	Xist
2	Zrsr2	163958661	40	0.31642045454545453	weak_XCI
3	Atrx	105929403	37	0.33256113256113257	weak_XCI
3	Cited1	102252181	15	0.12444444444444444	early_XCI
3	Dkc1	75095854	20	0.25666666666666665	weak_XCI
3	Ebp	8193512	29	0.35344827586206895	strong_XCI
3	Eif1ax	159372178	42	0.21268896447467875	strong_XCI
3	Emd	74254687	34	0.3398109243697479	weak_XCI
3	Flna	74249820	27	0.30617283950617286	strong_XCI
3	Hprt	52988137	32	0.18645833333333334	early_XCI
3	Hsd17b10	152001845	23	0.2427536231884058	weak_XCI
3	Htatsf1	57053583	22	0.24242424242424243	strong_XCI
3	Idh3g	73786897	20	0.49166666666666664	no_XCI
3	Klhl13	23365082	16	0.2604166666666667	weak_XCI
3	Ndufb11	20617619	31	0.19999999999999998	strong_XCI
3	Pbdc1	105079756	25	0.42666666666666664	no_XCI
3	Pdha1	160138413	22	0.2803030303030303	strong_XCI
3	Prdx4	155340754	33	0.3902958152958153	weak_XCI
3	Prps1	140456613	21	0.2015873015873016	early_XCI
3	Rbm3	8145880	22	0.5227272727272727	no_XCI
3	Rlim	103981284	25	0.08666666666666667	early_XCI
3	Rps4x	102189394	41	0.2914449371766445	weak_XCI
3	Slc7a3	101086020	30	0.24722222222222223	strong_XCI
3	Tceal9	136245079	41	0.25137139283480747	strong_XCI
3	Uba1	20658326	30	0.2977116402116402	weak_XCI
3	Xist	103483254	44	0.9977272727272727	Xist
3	Zrsr2	163958661	40	0.34231150793650794	weak_XCI
4	Atrx	105929403	36	0.20631613756613756	weak_XCI
4	Cited1	102252181	17	0.0196078431372549	early_XCI
4	Dkc1	75095854	22	0.2916666666666667	weak_XCI
4	Ebp	8193512	24	0.09027777777777778	strong_XCI
4	Eif1ax	159372178	35	0.11590702947845805	strong_XCI
4	Emd	74254687	30	0.18055555555555555	weak_XCI
4	Flna	74249820	30	0.1376984126984127	strong_XCI
4	Hprt	52988137	25	0.08	early_XCI
4	Hsd17b10	152001845	17	0.23529411764705882	weak_XCI
4	Htatsf1	57053583	17	0.17647058823529413	strong_XCI
4	Idh3g	73786897	16	0.4270833333333333	no_XCI
4	Klhl13	23365082	16	0.3559027777777778	weak_XCI
4	Ndufb11	20617619	30	0.09	strong_XCI
4	Pbdc1	105079756	24	0.5225694444444444	no_XCI
4	Pdha1	160138413	21	0.1984126984126984	strong_XCI
4	Prdx4	155340754	32	0.159375	weak_XCI
4	Prps1	140456613	16	0.03125	early_XCI
4	Rbm3	8145880	23	0.41304347826086957	no_XCI
4	Rlim	103981284	26	0.11442307692307692	early_XCI
